lemma,collocate,LogL,LR,MI,LogDice
per,sui,87.13,2.7347742508627,2.43099797928016,10.6534431961855
per,deus,74.84,3.82601017105343,3.16121803658359,10.8305054230477
per,triennium,62.53,8.60019822917583,5.64486126232482,10.2305285385558
per,explorator,47.41,7.52980890128443,5.26756703118335,10.0714476926206
per,uis,31.72,3.4092960939672,2.88465954935047,10.2964558724818
per,littera,28.83,3.40879350032307,2.88432403517185,10.2318473649916
per,ipse,22.09,1.96389585456627,1.90642033663723,10.0381291888443
per,senatus,21.04,2.59406344300373,2.33564627037431,10.0780266637187
per,prouincia,18.88,3.25679040687802,2.78266038139535,9.94821505219669
per,tot,17.56,3.91313754083594,3.21858469698822,9.76299913737638
per,iter,17.27,3.40511315383512,2.8818670314788,9.85422326414563
per,recordor,15.84,5.30741647994799,4.10441622137767,9.36365419654346
per,annus,15.59,3.17617194666973,2.72859316012508,9.81922293200559
per,orbis,15.53,4.20788080639707,3.41126904081773,9.58871800717733
per,aura,14.88,5.05587771295202,3.95026554155041,9.3572129504406
per,decem,14.88,5.05587771295202,3.95026554155041,9.3572129504406
per,omnis,13.14,1.39619346354343,1.5174439518287,9.76856678322736
per,medius,12.51,3.60697676180689,3.01627523257686,9.54274994408853
per,nuntius,12.3,4.37780580783938,3.52126993603205,9.33342118588326
per,Cicero,11.9,4.27346914802465,3.45382865523652,9.32873001230739
per,finis,11.51,2.92890485669426,2.56218705863702,9.64073035244873
per,uos,9.71,1.9498644753299,1.8968288570059,9.7018646149795
per,magistratus,9.56,3.65533978336829,3.04836354712836,9.29347731975162
per,traho,9.48,3.63364471226897,3.03397480967626,9.2919724285722
per,tu,8.4,1.08134840046814,1.30105584047114,9.597461495278
per,ego,7.96,0.9918817943756,1.2394979474717,9.5649405134179
per,aetas,7.12,2.47814678146194,2.25694614513561,9.39733294423003
per,qui,6.03,0.584504422070687,0.958879433600315,9.39471077347847
per,ager,5.69,2.58079283000324,2.32664299412436,9.18917157703872
per,alius,5.27,1.46679910375863,1.56591238558069,9.46586558712866
