lemma,collocate,LogL,LR,MI,LogDice
peto,consulatus,57.33,6.09023653412157,4.61687716848439,10.9687933382524
peto,auxilium,25.23,5.07622967612769,3.96523903159574,10.3650488879116
peto,silua,20.46,5.12811641779266,3.9993183452486,10.2017057599002
peto,ferrum,14.21,4.84045822499004,3.80961668115703,9.9338263147446
peto,pax,14.09,3.90282410595041,3.18100802173465,9.9657593618476
peto,unde,12.38,4.37097294168882,3.49652489317988,9.86483344325764
peto,salus,12.04,3.49650382377268,2.90516040692987,9.85290487239237
peto,plebs,11.73,4.2046145552667,3.38473348719176,9.83592209976322
peto,ab,11.16,1.74648207678103,1.70476542395182,9.33827764450699
peto,Caesar,10.44,2.73870472618931,2.38721731539502,9.67984876904421
peto,coepio,10.25,3.81843191866004,3.1238496078947,9.75867324742925
peto,causa,8.37,2.3757899579866,2.13803281337194,9.51699744798612
peto,ut,7.96,1.3604914578205,1.43847999049359,9.10871146353631
peto,rex,6.79,2.88554611451858,2.48786084117471,9.50576137471919
peto,per,5.37,2.07084921711981,1.92824505323928,9.30293454930765
