lemma,collocate,LogL,LR,MI,LogDice
potestas,tribunicius,42.31,9.38219870005341,6.68631513715298,11.1966396190935
potestas,facio,23.34,3.15551892031387,2.76912034332244,9.59260347536479
potestas,habeo,21.98,3.28022302910418,2.85496003479229,9.66026127752887
potestas,noster,18.13,3.49955565069157,3.00580393270956,9.75867324742925
potestas,atque,11.84,2.19670377584255,2.10774563296207,8.9658923497186
potestas,imperium,11.55,4.14698223835938,3.44981771093496,9.93668754702563
potestas,romanus,11.21,3.32420697729424,2.88522369243212,9.59175752319523
potestas,uester,9.46,3.60521742703933,3.07840474557271,9.67807728939582
potestas,nos,8.66,2.79911593255048,2.52353341337765,9.28709711420903
potestas,senatus,7.08,2.96434618516751,2.63743294900764,9.33656090588793
potestas,per,6.35,2.75770783514562,2.49497830894357,9.21947692653405
