lemma,collocate,LogL,LR,MI,LogDice
qua,potius,161.39,5.09807030840996,3.83828830926088,10.8864846907896
qua,magis,136.14,3.73550022902525,3.03418405811495,10.9526471046835
qua,multus,115.33,2.87693953563742,2.48303392920407,10.9159751193003
qua,malo,63.7,4.34318280624649,3.40638994408456,10.189179500081
qua,aliter,39.54,4.68303280913111,3.60566601399212,9.65763862171855
qua,parum,29.94,2.80835079443293,2.43806085383706,9.95694873216545
qua,uideo,20.71,1.39964975790552,1.49510981930158,10.1609061745946
qua,uere,18.1,4.04654000776988,3.22697114694856,9.07710362021175
qua,dulcis,17.22,3.9021500984347,3.13802366093207,9.07419664142044
qua,paruus,14.88,2.5631484901884,2.27639134159578,9.45338626347193
qua,amplus,14.41,3.03393997099024,2.58552534076551,9.22017647185813
qua,turpis,13.77,2.94279208293205,2.52610192029471,9.21598652159428
qua,sum,13.76,0.524825758729996,0.898127616368553,10.092308395458
qua,longe,12.34,2.73732296463207,2.39136932632455,9.20558781437338
qua,intellego,11.46,2.17163952640579,2.01575718136607,9.41886639184015
qua,uolo,11.04,1.39889223883278,1.49459554826941,9.81176672232095
qua,stultus,11,3.32868323655137,2.77604366476364,8.8459861230584
qua,excedo,10.37,3.91364573727253,3.14514112870093,8.57725505507691
qua,late,10.37,3.91364573727253,3.14514112870093,8.57725505507691
qua,primum,9.95,1.98954585163179,1.89365448456517,9.39984235583545
qua,diligenter,9.87,3.08989637696426,2.62189298493638,8.83950895035937
qua,appeto,9.78,3.75014700498965,3.04335843439099,8.5750499825186
qua,bonus,9.26,1.49410684575874,1.55919119757404,9.64009117057974
qua,prosum,8.72,2.84325640938113,2.46096261812375,8.83164895991199
qua,olim,8.61,3.42821891010229,2.83975947914975,8.56992364393961
qua,scio,8.57,1.69125331593608,1.69263553905597,9.45788794997905
qua,cito,7.92,3.23557383215989,2.71614552318257,8.56627799644576
qua,popularis,7.67,3.16518450426849,2.67068314910581,8.56482345073477
qua,ut,7.23,0.69214483151575,1.01271250589281,9.9508035934703
qua,nascor,7.19,2.17552644848995,2.01835796306612,9.00617182422013
