lemma,collocate,LogL,LR,MI,LogDice
quaero,quis,132.5,3.34547703916728,2.76771804379184,10.5945563274564
quaero,utrum,20.23,5.09113002537003,3.934248050634,10.0681743672757
quaero,an2,16.16,5.34488661761581,4.09855110192527,9.84111691664033
quaero,quisnam,13.37,4.63028883647806,3.63152810081768,9.77804431318525
quaero,quemadmodum,11.65,4.18734534062933,3.33641104987838,9.72333388098394
quaero,si,10.9,1.63522836944534,1.5954576643096,9.39691532050293
quaero,num,10.66,3.92984911833696,3.16339188574673,9.6847365814858
quaero,cur,9.48,3.6190615810548,2.95341879762227,9.63055214753298
quaero,saepe,9.44,2.96851073870607,2.51077468627235,9.65619457814632
quaero,uia,9.08,3.51134776375455,2.88039366260738,9.60967456251142
quaero,praesidium,8.85,3.45037974646312,2.83900844644453,9.59735407812338
quaero,inquam,7.89,2.64018487262056,2.28617234549448,9.55002270341761
quaero,ex,7.33,1.64444689947472,1.60180999449027,9.33302941310646
quaero,alius,5.87,1.90782281200697,1.7831908174425,9.34508772211709
