lemma,collocate,LogL,LR,MI,LogDice
que,ne,313.69,2.90023534645964,2.27021651078369,11.1955806335026
que,is,93.98,1.24942206623259,1.2096461371104,10.877399105873
que,item,52.39,3.68311625005289,2.73140168968259,9.33739366096729
que,equitatus,51.36,3.98407691547682,2.89759034806933,9.21863811759349
que,ceterus,43.86,2.50059573262155,2.02212161071543,9.67401475620974
que,suum,36.18,4.51560015723652,3.1722852249943,8.71820730578426
que,uester,35.58,2.18686811883605,1.82278870809494,9.65827466209964
que,populus,32.05,1.72796737644992,1.52543287670994,9.87091248933403
que,magis,30.05,1.87699969291329,1.62266580777111,9.7080196460109
que,ibi,25.57,3.01661087962521,2.34103500628701,8.90318700966269
que,obtestor,25.47,5.54207236859771,3.62059049177896,8.13608477383899
que,omnis,22.63,0.939719731002483,1.00288768113894,10.2798967054345
que,defensor,22.14,4.22014427371035,3.02275349102333,8.31472099690836
que,uultus,20.68,2.78718486643424,2.20077343862042,8.80676540990512
que,centurio,20.64,3.9977518523739,2.90497045536695,8.31387246058252
que,obses,19.64,3.13268143246001,2.41095194991734,8.59254799874962
que,commeatus,19.61,4.42659515117777,3.12811400668116,8.13409867586736
que,reliquus,19.09,2.12864591922485,1.7854149928536,9.11530592926159
que,ratis,18.16,3.63518177298919,2.7042997599048,8.31217754492253
que,monumentum,17.75,2.92246372506966,2.28379677443209,8.59030898298076
que,magnus,17.49,1.05659442643726,1.08110410682888,9.97954975754324
que,fidus,17.44,4.03957202806853,2.92744331121901,8.1329655312702
que,seruo,17.28,2.65310368098645,2.1176360597473,8.70196044981713
que,idem,16.91,1.33358208380619,1.26553434704746,9.66149963037601
que,uersor,16.7,2.8051067744315,2.21182327480701,8.58891213961912
que,infestus,16.1,3.8051067744315,2.79960993970912,8.13211651466337
que,militia,16.1,3.8051067744315,2.79960993970912,8.13211651466337
que,totus,15.21,1.64464210223826,1.47082007306943,9.27547937991551
que,uexo,15.06,3.18061590952371,2.43960720567772,8.30935905376697
que,maiores,14.3,2.34567515579421,1.92414120235522,8.69669509194092
