lemma,collocate,LogL,LR,MI,LogDice
qui,is,380.99,1.67409206244825,1.33849469535091,11.3588440337278
qui,quidem,110.23,2.08814897649893,1.59177222261518,10.1052177898845
qui,in,106.45,0.906272586843903,0.849798078680665,11.0427154825936
qui,ex,94.23,1.50189442675612,1.23081314908396,10.4061728224424
qui,ego,71.43,0.990052577545791,0.904092696291337,10.6933178519283
qui,sum,64.97,0.551924326717692,0.618062326622362,11.1422339589379
qui,ille,59.99,0.950367037547039,0.878399585226593,10.6120927899181
qui,res,45.39,0.930085863184778,0.865251339978975,10.42605051256
qui,tu,39.8,0.829409878480536,0.799810155924689,10.469169542764
qui,de,39.43,1.02633564039573,0.927541719382109,10.1806729473884
qui,supra,36.59,4.4152295591519,2.77686209792747,8.03014220664608
qui,cum,30.37,0.688576339421827,0.707807106761095,10.4975244984036
qui,supersum,26.63,3.71573867040435,2.47479128802359,7.92414324367039
qui,iste,23.46,1.10803370794465,0.980192635201861,9.61080571816592
qui,ad,23.24,0.657452559814549,0.687406452934583,10.357067533493
qui,dico,21.4,0.80866942393301,0.786293697796442,10.0048260004577
qui,nunc,19.34,1.21855970247705,1.05107840101534,9.28198387068869
qui,nisi,18.85,1.3300849779066,1.12218000570391,9.11780921231012
qui,manduco,17.52,3.67826396498569,2.45709171092419,7.51982763437965
qui,habeo,16.83,0.814380948464661,0.790017030180365,9.78753575845565
qui,profecto,15.44,2.09330146426453,1.59486820032031,8.20394224923463
qui,scribo,14.42,1.16147296690611,1.01451651390571,9.08147999481155
qui,nos,14.11,0.880851846175663,0.833283858207138,9.50750871047742
qui,ab,13.76,0.570853415127525,0.630520173492377,10.1421083204609
qui,secundum,13.6,2.74311510933566,1.97216243146178,7.67180814676298
qui,scio,13.22,1.17358925322217,1.02228569837863,8.98137204115971
qui,nemo,12.78,1.26202070296145,1.07883874867929,8.82963953037736
qui,liber2,12.13,2.15631126179033,1.63260852830316,7.91943135975371
qui,recito,11.61,2.73484749335206,1.96754348560548,7.51829526273514
qui,primus,10.9,1.32704156330429,1.12024562521828,8.59345124270245
