lemma,collocate,LogL,LR,MI,LogDice
scelus,tantus,63.9,4.46950361837098,3.7000628421222,10.8081528475197
scelus,nefarius,59.38,6.89018768079096,5.26111728733547,11.2042442184787
scelus,manifestus,22.02,6.82564742859625,5.22233126230031,10.3712244699558
scelus,conscientia,21.49,6.68814390484632,5.13894965336126,10.3624138402736
scelus,poena,19.24,4.89018768079096,3.98206845656917,10.3461002647821
scelus,suus,17.35,2.59939581180417,2.42469650813444,9.69368518706181
scelus,soluo,15.63,5.19337921309674,4.18343820833382,10.2007724887172
scelus,omnis,14.54,2.04978279266646,2.04625567196447,9.38442953939412
scelus,libido,13.51,4.65572242715394,3.8252259850762,10.101400014904
scelus,dignus,12.64,4.43333000581749,3.67569425110524,10.0519665570488
scelus,tuus,10.2,2.39938267389416,2.28708775022697,9.51042773876295
scelus,Antonius,9.31,3.57014669544787,3.08996731916613,9.80782318854087
scelus,iste,8.36,2.37278846388244,2.26878060278261,9.45883514398782
scelus,uis,7,2.94300437923441,2.66073199172405,9.57515336814319
scelus,sine,6.11,2.69224830317905,2.48852856509568,9.46919422930077
