lemma,collocate,LogL,LR,MI,LogDice
sed,etiam,739.94,4.33884289579032,3.28140911696533,11.9332719115931
sed,tamen,246.72,3.69164462067955,2.89804648591145,11.2063996028734
sed,solum,55.06,3.46904541928829,2.76092572118213,9.99890633585027
sed,ne,45.69,1.81140930466367,1.68549703893123,10.412612584766
sed,quia,41.95,3.10389032749205,2.53131007012375,9.87666790090465
sed,quoniam,31.54,2.91841928243739,2.41275679642574,9.6896803759423
sed,ut,26.03,1.05561389691171,1.17616852294277,10.3424530977111
sed,plerusque,21.99,4.73067300390783,3.49991659136206,8.7440683499484
sed,postquam,20.99,3.55313481835565,2.81299996055275,9.0593785065248
sed,tantum,20.5,2.74072666857176,2.29812006645872,9.3716016878927
sed,ita,20.48,1.77131498840518,1.65867706487064,9.8752879011615
sed,uiuo,15.65,2.16773680951668,1.92260995711076,9.42294874427591
sed,iam,15.56,1.50399322416829,1.4792332079043,9.83023879849314
sed,hic,15.4,0.76314105695948,0.977355012250509,10.2386237194156
sed,nescio,13.48,2.63113733035692,2.22695091554918,9.03366496480032
sed,tamquam,12.78,2.54053478157601,2.16786199917917,9.030186700424
sed,ecce,12.56,3.67177931485427,2.88590673136084,8.51520306650935
sed,mehercule,12.33,3.62447360007591,2.85691919448759,8.51468452877411
sed,uereor,12.05,2.70420079254664,2.27443758181516,8.89002226257148
sed,iustus,11.56,2.96986066778726,2.44575606526479,8.72188534076948
sed,desero,10.26,3.18635248768402,2.58362585948791,8.50899828962246
sed,ubi,10.09,1.75593976251826,1.64838537883409,9.30544625287722
sed,naturalis,9.3,3.64007045512693,2.86648864550374,8.23167900420623
sed,abicio,8.11,3.30565141605637,2.6588492807255,8.22855887686998
sed,cupiditas,7.82,2.30068516316302,2.01043799400694,8.70368463612264
sed,proficio,7.46,3.11923829182549,2.54106624506911,8.22648418732912
sed,delecto,7.43,2.22817266337865,1.96258197282931,8.70118275841031
sed,paene,7.08,2.49120706921245,2.13560113696095,8.49568524097272
sed,attingo,6.75,2.91570489774036,2.41101311682092,8.22389686376417
sed,recuso,6.75,2.91570489774036,2.41101311682092,8.22389686376417
