lemma,collocate,LogL,LR,MI,LogDice
sine,ullus,233.08,6.49454301537133,4.84498771729643,11.8703687137963
sine,causa,80.19,4.13808421004847,3.3457274964656,10.8738662268304
sine,dubium,45.65,8.44521530300776,5.82765351811546,10.3999517595927
sine,mora,30.02,5.82630547036326,4.44135915699557,10.306133004375
sine,molestia,27.3,6.4712105115407,4.83132007856777,10.1392702889594
sine,controuersia,21.37,6.70824970884155,4.96852120008126,9.87555740662062
sine,non,17.67,1.48230134018954,1.53461650044332,9.44064614354454
sine,amicus,16.33,3.26767711745557,2.75830942721823,9.98662450031157
sine,cura,15,4.08515207923362,3.31029312347772,9.9203461531879
sine,magnus,13.42,2.07141796819979,1.94009398486569,9.66598258451248
sine,metus,13.3,3.75073304016306,3.08547031064379,9.8588513715801
sine,sensus,13.09,4.56140832051228,3.62734727424183,9.75388854930592
sine,lex,12.45,3.07764454256468,2.62898040056478,9.82869439664177
sine,testis,11.96,4.26767711745557,3.43228669167045,9.72102174122556
sine,periculum,9.23,2.92501758098412,2.52489620926656,9.65781927387332
sine,scelus,6.73,2.87174844112443,2.48852856509568,9.46919422930077
sine,etiam,6.62,1.67595091451511,1.66802666380295,9.37362760636131
sine,ratio,6.22,2.72770207150772,2.39008849228243,9.43218560055568
sine,possum,5.62,1.31429750397184,1.41879113089607,9.22696409300269
