lemma,collocate,LogL,LR,MI,LogDice
uir,fortis,717.87,7.63545254314112,5.40122846180235,12.5805534315632
uir,bonus,442.67,5.66892977902813,4.38129434045636,12.0756565565035
uir,clarus,153.55,6.19119734364789,4.68370964442112,11.4191520564707
uir,amplus,58.04,5.29514830768679,4.15486551515245,10.684162467289
uir,talis,56.89,4.87493799884722,3.89237043768196,10.705707535847
uir,superus,47.5,3.6348039951235,3.08384118300317,10.60102731336
uir,praestans,24.08,5.88634276211946,4.50935625727635,9.80092011751399
uir,sapiens2,23.35,4.81922856626093,3.85703107123665,9.96046367427289
uir,iustus,16.15,4.32446387451135,3.53857734011812,9.72681214536027
uir,magnus,13.85,1.80168036505008,1.84127371488847,9.83214288094394
uir,honestus,13.84,3.86926924876052,3.23959571241241,9.68752442828723
uir,tot,13.19,3.73950137379019,3.15352110364116,9.67421308364899
uir,egregius,11.94,4.27866018489823,3.50872437696844,9.46560999607296
uir,acer,11.29,4.10873518345591,3.39749874185821,9.45493373808161
uir,mulier,9.15,3.54169459073202,3.02170940189617,9.40994345182196
uir,praeclarus,9.09,3.52377268273476,3.00973321084945,9.40825283434405
uir,qualis,8.46,3.35582804542069,2.89725522742276,9.39150202391923
uir,arma,7.25,2.50387312529705,2.32106031068443,9.48502808193006
uir,patria,6.41,2.78680708856855,2.51329632453556,9.32095996544545
uir,unus,5.64,1.67132987114861,1.75188117284661,9.48275069538438
