lemma,collocate,LogL,LR,MI,LogDice
urbs,ex,71.95,3.22175193347858,2.77248306947667,10.5400679440201
urbs,hic,66.69,2.33528365778139,2.16718562427371,10.0780266637187
urbs,condo,59.65,6.98934450127652,5.16040981123805,10.7937029573387
urbs,in,49.12,1.87698546992433,1.85247149834069,9.78994172515688
urbs,tectum,36.38,5.87769914544761,4.51335373787837,10.4663134352918
urbs,ornamentum,29.67,5.77693616851269,4.45117649292648,10.2986980258875
urbs,totus,24.64,3.55730664947147,2.99988660075226,10.2519675946811
urbs,incendo,21.56,5.35547240007441,4.1863602452117,10.0706283562372
urbs,templum,18.15,4.69757837689941,3.76069242978602,10.0087038136773
urbs,atque,17.37,1.75487924763949,1.76847619171979,9.62720704127306
urbs,uigilia,16.13,5.3448251558749,4.17958055822632,9.81287370432693
urbs,incendium,15.36,5.146885778263,4.05282885258718,9.80029492212007
urbs,expello,14.81,5.00602324242315,3.96185707438145,9.7903445912669
urbs,pulcher,12.33,4.36619880666747,3.54200322882119,9.73263627364626
urbs,Roma,11.77,3.4464460601219,2.92488894882455,9.8046795204379
urbs,capio,10.19,3.1262263076969,2.70754251519466,9.7285558249651
urbs,ad,9.39,1.36985631823707,1.50330396545127,9.37118304429183
urbs,hostis,9.1,2.50747549351946,2.28516693493818,9.65879535984637
urbs,proficiscor,7.52,3.09243799424062,2.68455299696997,9.53217800516313
urbs,duo,6.51,2.81023617766887,2.49218110432251,9.46740050684674
