lemma,collocate,LogL,LR,MI,LogDice
usus,cottidianus,37.75,8.38074506054609,6.28085002904482,11.3432430932853
usus,bellum,18.38,4.01058078000588,3.42437982282433,9.88585281048172
usus,atque,18.3,2.68772281396748,2.51321074107023,9.09596055216956
usus,tantum,15.16,5.05881696565873,4.14078386554855,10.2986980258875
usus,uel,11.72,4.18960357319409,3.54720428075364,9.88639762117348
usus,nec,11.41,3.36282315254883,2.97885929746611,9.47009229851245
usus,ad,7.62,1.99819308046628,2.0367294211345,8.62202461514651
usus,magnus,7.33,2.51408430972611,2.39329049579504,8.93978120571492
usus,ex,6.36,2.29753169229711,2.24366388066266,8.80012270626522
usus,res,6.04,1.93912879113954,1.99588510721407,8.5759314281464
