lemma,collocate,LogL,LR,MI,LogDice
ab,inferi,28.52,5.94127306402766,4.07330848473766,8.67309517660005
ab,Mutina,30.96,5.4266998911979,3.85016493342346,8.85250552318655
ab,principium,19.89,5.25677488975559,3.77012222574992,8.44946583465205
ab,Clodia,14.09,5.01166239191906,3.6494942379613,8.1627555795751
ab,sueui,26.48,4.76373487847547,3.52166086645142,8.84911978839242
ab,Nero,21.47,4.66116514483492,3.46717268116735,8.66824785736573
ab,mortuus,16.52,4.51980929558938,3.39063260404501,8.4465560362847
ab,ortus,16.08,4.4266998911979,3.33933930965746,8.44607189200025
ab,explorator,12.06,4.4266998911979,3.33933930965746,8.1608128883376
ab,abduco,14.92,4.17877237775431,3.19957736728231,8.44462086393429
ab,longe,73.17,4.11927136600565,3.16538600253403,10.0087038136773
ab,tergum,18.21,4.10477179631054,3.15701775286351,8.66438684870827
ab,barbarus,17.87,4.04818826794417,3.12422793004052,8.66390526911793
ab,maiores,59.92,4.00636809224954,3.09985933902356,9.85127866689983
ab,ceruix,13.32,3.84173739047674,3.00286707303625,8.44220715289036
ab,altum,9.71,3.76373487847547,2.95634705740136,8.15742223359974
ab,cena,9.2,3.61934496914029,2.86933568041173,8.15645558296864
ab,praedo,12.02,3.56871889607033,2.83856402174498,8.43979925382182
ab,Brundisium,8.73,3.48810043586204,2.78929297273819,8.15548986584868
ab,Epicurus,13.98,3.39107598146718,2.72957373803657,8.65670926780923
ab,inuito,7.92,3.25677488975559,2.64619212909752,8.15356122494228
ab,accusator,10.19,3.17877237775431,2.59740196492809,8.43547959267731
ab,ineo,10.02,3.14129767233565,2.57387146751789,8.43500078012327
ab,Appius,7.38,3.10477179631054,2.55088194929319,8.15211718137004
ab,adulescentia,12.14,3.07620264411377,2.53286344379052,8.65194054155715
ab,sequani,7.06,3.01166239191905,2.49204144927026,8.15115564283442
ab,initium,13.52,2.92419955066872,2.43647159811545,8.82573528212194
ab,inferus,8.64,2.84173739047674,2.38382786463003,8.43070175272359
ab,lentulus,10.79,2.84173739047674,2.38382786463003,8.64766804514573
ab,uos,93.63,2.81466914727857,2.36649640827839,10.6033584348737
