lemma,collocate,LogL,LR,MI,LogDice
accipio,detrimentum,24.24,7.44125655749988,5.46362962389489,10.1713586035109
accipio,uulnus,78.84,6.70906810359555,5.04526111095082,11.2620968357481
accipio,obses,22.59,5.53436596189137,4.31283158205621,10.3080004185498
accipio,libenter,15.01,5.04270718100961,3.99181308933684,10.0141071460054
accipio,iniuria,17.93,4.64330033344453,3.72692993184986,10.1713586035109
accipio,maiores,17.78,4.61528595727493,3.70823779883771,10.1659385360416
accipio,cum3,10.69,3.93490389147509,3.25065668959053,9.82561273010436
accipio,dolor,9.55,3.63390163544228,3.04644114816184,9.75388854930592
accipio,littera,15.59,3.5823713348022,3.01139375639644,10.0240636688282
accipio,Roma,9.01,3.49129723999948,2.94939535901237,9.71641343813937
accipio,pater,13.7,3.2801017656853,2.8053700872957,9.91402368744842
accipio,ratio,7.61,3.11278561674575,2.69104090165511,9.60555084532756
accipio,at,6.22,2.7257624936365,2.42593315124187,9.47459478248077
accipio,tempus,6.87,2.41485886743528,2.21242491191133,9.46740050684674
accipio,non,5.38,1.04067563661136,1.26502405134838,8.89126122819381
accipio,et,5.47,0.851126188419786,1.13403464399777,8.78492123202252
