lemma,collocate,LogL,LR,MI,LogDice
ad,quemadmodum,226.72,5.86933804553729,3.95854201861076,10.5438372126228
ad,uesper,27.62,5.86346147920062,3.95632226187244,8.47057091248858
ad,usque,219.79,5.83371413580657,3.94502270661851,10.5195294374433
ad,ianua,12.9,4.71145838575557,3.44549663810645,7.95974528872259
ad,sagum,12.9,4.71145838575557,3.44549663810645,7.95974528872259
ad,extremum,21.1,4.64106905786417,3.40977855550437,8.4674013377273
ad,nutus,12.32,4.54153338431325,3.35848526111682,7.95934854204014
ad,securitas,12.32,4.54153338431325,3.35848526111682,7.95934854204014
ad,colloquium,19.51,4.36096113867143,3.2631750813125,8.46621533244892
ad,cornelius,10.89,4.12649588503441,3.13534170980261,7.95815924556695
ad,sidus,17.36,3.98899236128448,3.05838066866649,8.46424177743693
ad,Manlius,13.37,3.87856837159083,2.99557976742746,8.24267675841577
ad,gnatus,9.77,3.80456779014705,2.95302015300866,7.95697136183986
ad,pridie,12.7,3.73417846225565,2.9121981584884,8.24188718079875
ad,ripa,12.39,3.66706426639711,2.87297744533512,8.24149262565455
ad,pernicies,15.33,3.64106905786417,2.85770997320433,8.46187864124465
ad,aditus,17.16,3.46353087231198,2.75234945754651,8.63988223254652
ad,porta,11.26,3.42605616689332,2.72987660169445,8.23991595997516
ad,pugna,19.59,3.410288851035,2.72039785773991,8.79051384715858
ad,summa,11.01,3.37160838287094,2.69708677887146,8.23952218166726
ad,cena,8.08,3.31914096297681,2.66533808055688,7.95459981922638
ad,nauigo,8.08,3.31914096297681,2.66533808055688,7.95459981922638
ad,perscribo,8.08,3.31914096297681,2.66533808055688,7.95459981922638
ad,ultimus,18.15,3.23341108895092,2.61315232738631,8.78817466480541
ad,statua,7.41,3.12649588503441,2.5475550449005,7.95341615367094
ad,societas,7.21,3.06760219598084,2.51118740072962,7.95302190962877
ad,aedes,9.48,3.03903304378407,2.49348782363022,8.23677006670038
ad,uerum2,9.48,3.03903304378407,2.49348782363022,8.23677006670038
ad,fax,7.01,3.01101866761447,2.47609608091835,7.95262782095372
ad,modus,78.48,2.98514003578887,2.45999915387618,10.2668925935251
