lemma,collocate,LogL,LR,MI,LogDice
animus,aequus,167.85,6.78575358490167,4.92393759537764,11.2119070912243
animus,puerilis,19.46,6.3403424365793,4.70928065794075,9.21250825721796
animus,robur,37.74,6.17041743513699,4.62226928095112,9.88776094790135
animus,alacer,17.83,5.88091081794201,4.46811860112386,9.20835024706929
animus,magnitudo,93.13,5.77810001235823,4.41170451184377,10.7962378129418
animus,aeger,21.6,5.43345184097078,4.21680417284295,9.48229583979318
animus,offensio,16.2,5.43345184097078,4.21680417284295,9.20283299169454
animus,erigo,15.22,5.17041743513699,4.0626534930157,9.19871493508562
animus,infirmus,13.67,4.75537993585815,3.81133906473479,9.19052935049918
animus,motus,21.91,4.61787641210821,3.72618125639448,9.67190170735167
animus,induco,17.17,4.5459265702292,3.68128593648659,9.45936833514948
animus,offendo,11.93,4.29594831722085,3.52365699228301,9.1783752508485
animus,impetus,35.64,4.28144874752573,3.51444033717808,10.1835094212934
animus,tandem,23.54,4.25287959532896,3.49625801809489,9.8217739537972
animus,fingo,14.99,4.11152374608342,3.40587395662663,9.44218351039538
animus,acer,9.27,3.58545493441583,3.06412466290457,9.15057729948746
animus,humanus,12.27,3.56555537697813,3.05105258133722,9.41248474925063
animus,exilium,8.8,3.45769938721746,2.98004154569403,9.14407109566472
animus,liber,7.41,3.0735558958844,2.72514929606524,9.12099314838218
animus,miles,9.4,2.56951339054681,2.38689293765052,9.50464468001912
animus,uis,11.66,2.37785951500747,2.25738030462092,9.7243264368967
animus,corpus,7.43,2.21312188609123,2.14573088083363,9.44928599980797
animus,uirtus,11.15,2.12602331577854,2.08659030578969,9.75777437096424
animus,aetas,5.54,2.1187553153145,2.08165202414911,9.2638015516055
animus,tuus,20.59,2.02406090483308,2.01726745574836,10.10372535154
animus,fero,11.39,2.00346400022597,2.00325270221931,9.79779804192149
animus,bonus,7.58,1.68123847310564,1.78355638132886,9.63690137521164
animus,magnus,13.68,1.58170279955473,1.71553900071307,9.92670884697573
animus,atque,10.52,1.10276874280767,1.3874345234613,9.80705686303399
animus,in,15.36,0.91443465207348,1.25809644422576,9.82006350744249
