lemma,collocate,LogL,LR,MI,LogDice
arma,abicio,19.45,6.16958950319364,4.7981237830114,10.2504959240696
arma,capio,88.17,5.70564240343385,4.50265957011757,11.3189784712857
arma,sumo,27.2,5.37221866970865,4.28604893984498,10.5595819051846
arma,obses,15.72,5.2202155762636,4.18632224190541,10.1498523982899
arma,trado,18.45,4.74216827945896,3.86941053113869,10.2773231663028
arma,contendo,13.63,4.68772049543658,3.83304288696781,10.0649117216409
arma,quin,12.16,4.31332498065509,3.58172845868691,9.98964109385099
arma,contra,14.35,3.95075490127038,3.33660600065392,10.0706283562372
arma,fero,15.1,3.09683316075832,2.75447134918315,9.90983080918838
arma,uis,6.57,2.82299935407201,2.56676619930572,9.53600942747469
arma,uir,7.1,2.46532807410014,2.32106031068443,9.48502808193006
arma,in,17.26,1.49982694352271,1.65567505094602,9.14336388205675
