lemma,collocate,LogL,LR,MI,LogDice
atque,agrestis,18.56,4.98312429712876,3.56303286556891,8.31684549313977
atque,delicatus,13.61,4.89001489273728,3.51651284993402,8.03044028828007
atque,furiosus,17.94,4.84562077337882,3.49403999408196,8.31642023266132
atque,sceleratus,29.86,4.65297569543643,3.39441015313312,8.87010128507693
atque,barbarus2,20.67,4.53951764565314,3.33419129314006,8.53659201358637
atque,ornatus,28.85,4.52744481335257,3.32771877863445,8.86925633361136
atque,amans2,16.35,4.49769746995852,3.311718437288,8.31514553522932
atque,debilito,12.03,4.43058327409998,3.27535079311713,8.02916342068799
atque,mansuetudo,12.03,4.43058327409998,3.27535079311713,8.02916342068799
atque,secus,12.03,4.43058327409998,3.27535079311713,8.02916342068799
atque,utinam,36.08,4.43058327409998,3.27535079311713,9.11593624759321
atque,superbia,15.45,4.30505239201612,3.20635792163018,8.31429663874371
atque,flagitium,18.13,4.10341853084647,3.09302923632318,8.53405179206801
atque,maritimus,10.81,4.08265997067967,3.08119477867617,8.02788818140783
atque,illustris,14.29,4.05712487857253,3.06659597925502,8.31302464366018
atque,pecus,14.29,4.05712487857253,3.06659597925502,8.31302464366018
atque,miseria,17.09,3.92654076876239,2.99124654201323,8.53278409699015
atque,perditus,26.9,3.87878763731402,2.96341174301979,8.99437724772729
atque,obsecro,9.82,3.80255205148694,2.9186758491784,8.02661456629192
atque,repentinus,9.82,3.80255205148694,2.9186758491784,8.02661456629192
atque,auaritia,16.16,3.76899949177591,2.89887322188222,8.53151800692864
atque,amens,9.52,3.72008989129496,2.86988568500897,8.02619038813074
atque,sollicitus,15.87,3.72008989129496,2.86988568500897,8.53109633287643
atque,tumultus,12.7,3.72008989129496,2.86988568500897,8.3109082407538
atque,luxuria,15.6,3.67278417651661,2.84171480804227,8.53067483655828
atque,adeo,12.42,3.6611962022414,2.8347943651977,8.3104854971415
atque,inopia,21.67,3.65297569543643,2.82988035039527,8.86084585510277
atque,horreo,9.25,3.64208737929369,2.82336566937407,8.02576638982038
atque,furo,8.99,3.56808679784991,2.77891390680324,8.0253425712084
atque,imperitus,8.99,3.56808679784991,2.77891390680324,8.0253425712084
