lemma,collocate,LogL,LR,MI,LogDice
audio,uerum2,16.13,5.34287504249387,4.13629142990812,9.79530738060904
audio,auris,12.83,4.49487813593892,3.58422284760808,9.72797426054045
audio,uerbum,33.02,4.37940091851899,3.50768277048575,10.4554240354925
audio,male,11.86,4.24333936894296,3.41716876294491,9.70044958715036
audio,malo,9.65,3.66480313738123,3.02894546127126,9.62005887181714
audio,saepe,17.35,3.40606886898107,2.85389666380638,10.0265683664432
audio,uox,6.95,2.93299924833081,2.53213057457486,9.47640146770572
audio,Antonius,6.81,2.89472923140309,2.50601943057118,9.46740050684674
audio,nomen,8.53,2.77867110193951,2.42677005891704,9.61174281557548
audio,ubi,8.22,2.712269876217,2.38138705306922,9.59175752319523
audio,dico,24.26,2.3264806042432,2.11718672251215,9.90843708073978
audio,neque,11.18,2.30868808013383,2.10498237397875,9.69208133747984
audio,uos,9.54,2.30223305799653,2.10055432246301,9.63266408073612
audio,multus,13.24,2.19293441550571,2.02554673871724,9.71641343813937
audio,aut,16.08,2.18423584859807,2.01957484657109,9.76391916109902
audio,cum,16.94,1.61794581947173,1.63014383079897,9.53167496173988
audio,ego,7.19,1.1758973251019,1.32544037727243,9.22689699467005
audio,non,8,1.08342319385464,1.26163708790736,9.19325044061354
audio,et,10.48,0.98395926226853,1.19299081113089,9.15820610114101
audio,qui,6.7,0.769366961341077,1.04482186340104,9.0171275028811
