lemma,collocate,LogL,LR,MI,LogDice
beneficium,immortalis,15.4,5.11947701049488,4.18260490651673,10.3321739550839
beneficium,uester,22.37,4.62223685188651,3.84412261896749,10.2504959240696
beneficium,populus,28.12,4.27345843135434,3.60560728760543,10.1125624700445
beneficium,Caesar,13.56,3.78926943784295,3.27338134186567,9.74616191354015
beneficium,tuus,18.06,3.49022523362893,3.0676942361155,9.61901557490456
beneficium,deus,8.8,3.42784644847724,3.02474978428576,9.49097367456481
beneficium,romanus,7.87,3.17772215153083,2.85243386960913,9.34603964984248
beneficium,suus,11.05,2.83711187721237,2.61751632912085,9.19188897001522
beneficium,meus,5.56,2.53105895113751,2.40622125765078,8.95442665454246
beneficium,is,5.22,1.45518595536096,1.66236413006911,8.29336445636139
