lemma,collocate,LogL,LR,MI,LogDice
capio,detrimentum,25.34,7.70722727767083,5.66133609952833,10.3580374656738
capio,Carthago,33.62,7.67480579997845,5.64363652242892,10.6241204263221
capio,arma,89.89,5.78814727305439,4.50265957011757,11.3189784712857
capio,fructus,23,5.60441647208705,4.3833828822044,10.4375344707417
capio,consilium,65.7,4.80033668206231,3.85187705320087,10.9122095820281
capio,patria,11.3,4.08984329925729,3.37313974398638,9.92529141229476
capio,castra,8.79,3.43194927608229,2.92511502145942,9.72565137912431
capio,urbs,10.16,3.11409084550397,2.70754251519466,9.7285558249651
capio,possum,27.11,2.60687212381336,2.35928276818122,9.73631459245667
capio,magnus,7.5,1.98054465676648,1.92792724610581,9.25072947003815
capio,aut,5.01,1.73369948903202,1.7576333257159,9.07856028470821
