lemma,collocate,LogL,LR,MI,LogDice
certus,explorator,36.74,8.29769056189763,6.02491665490762,10.7761366336208
certus,facio,75.7,3.83392977259731,3.22468328841338,10.4427057815551
certus,annus,10.17,3.79519022136845,3.19826071139756,9.86217032583816
certus,ratio,9.26,3.55418212186465,3.03363873170301,9.7756023095297
certus,quisquam,8.95,3.47171996167268,2.97722464242291,9.74438729018178
certus,habeo,28,3.1185217162117,2.73515883497967,9.92632207458646
certus,modus,7.1,2.97139727444887,2.63414379058134,9.53793065765258
certus,Caesar,9.09,2.89293603588065,2.58023416130572,9.59328075273575
certus,pro,6.75,2.87447913117309,2.56754900177841,9.49465014929412
certus,homo,14.85,2.76519548107061,2.49241257564305,9.65064414761567
certus,noster,9.7,2.60940845818277,2.38522744498445,9.50019032966973
certus,sum,9.23,0.998621337588182,1.27343596693274,8.60221444349897
