lemma,collocate,LogL,LR,MI,LogDice
communis,salus,79.24,6.22593391440499,4.9094813181416,11.3550079348649
communis,sensus,18.91,5.99965805858131,4.76044573898111,10.6043736633873
communis,natura,9.94,3.72985269477008,3.22440599150188,9.76107420896679
communis,uita,12.99,3.67889389682758,3.18942885952973,9.8046795204379
communis,pro,9.01,3.48624881888519,3.05709722709711,9.63690137521164
communis,consilium,8.41,3.32449774888857,2.94587159198689,9.55148362405729
communis,causa,6.23,2.7250356784723,2.53291581214957,9.21668362862843
communis,ad,13.85,2.25110449013989,2.20580575117844,9.01829777802929
communis,omnis,7.49,1.9780064009614,2.01712739904145,8.8191532179263
communis,sum,7.93,1.11192008757338,1.41814370595972,8.26418700399996
