lemma,collocate,LogL,LR,MI,LogDice
cum,praesertim,116.62,4.9097774972002,3.45892862261687,9.93492582007801
cum,una,70.14,4.37926278050142,3.19656435814938,9.56984479562342
cum,pariter,18.46,4.1986905348596,3.10125417834506,8.3055946871564
cum,Saturninus,15.95,3.76259142005293,2.86009212152817,8.30357787975009
cum,domitius,12.55,3.71629776777899,2.83365886446001,8.08211471868174
cum,septimus,8.53,3.46172494069339,2.68573873438339,7.79544223743131
cum,communico,10.73,3.32036909144785,2.60185725040269,8.08009858896655
cum,licinius,7.25,3.08975616330644,2.46259518306918,7.79376015124833
cum,Brundisium,7.03,3.02562582588672,2.4233744699159,7.79342407327507
cum,summus,13.86,2.9945989302661,2.4043262749452,8.47753958180467
cum,antea,17.22,2.85570082444441,2.31849483909542,8.75726141321806
cum,ligarius,6.44,2.84874806380264,2.31417517795091,7.79241651651477
cum,equitatus,14.95,2.84084286571729,2.30926116314848,8.62670769028746
cum,telum,16.85,2.81447816171789,2.29285240848209,8.75660091121254
cum,semel,7.82,2.67882306236033,2.2079529646956,8.07541003382714
cum,Crassus,11.34,2.61845044438085,2.16992556910636,8.47288841062894
cum,exigo,7.21,2.53796052652048,2.1190054786791,8.07407447436317
cum,procedo,5.3,2.50479366258528,2.09795206948127,7.79006949112892
cum,proficio,5.3,2.50479366258528,2.09795206948127,7.79006949112892
cum,illa,5.16,2.46172494069339,2.07055309529316,7.78973465101195
cum,lacrima,6.78,2.44066332516556,2.05713007496102,8.07307397402959
cum,animaduerto,5.02,2.41990476499877,2.043884848211,7.78939992297535
cum,quidni,5.02,2.41990476499877,2.043884848211,7.78939992297535
cum,Sylla,5.02,2.41990476499877,2.043884848211,7.78939992297535
cum,interim,6.52,2.37926278050142,2.01790936180773,8.07240752948643
cum,legatus,20.54,2.22468574339254,1.91861114082545,9.27672936841793
cum,Catilina,14.08,2.16721230338643,1.88149750631786,8.95689751576624
cum,loquor,17.74,2.12550618825564,1.85450325200632,9.20325631692046
cum,Scipio,6.48,2.05733468561406,1.81026999702949,8.28626719449063
cum,exercitus,20.98,1.99640568697173,1.77062516568225,9.44519474689073
