lemma,collocate,LogL,LR,MI,LogDice
dico,queo,36.28,6.10895799222173,4.26483651421852,9.20696807684234
dico,supra,39.86,5.79078203219547,4.11670632217285,9.35698367152179
dico,Fannius,14.27,4.98342711013787,3.69685247661259,8.51520306650935
dico,exercitatio,15.91,4.33957092036314,3.3252889201801,8.79324982697746
dico,aperte,15.64,4.28298739199678,3.29138736850442,8.79256512992914
dico,male,38.3,4.21789236377489,3.25216665535114,9.67652981478614
dico,leibere,11.34,4.17607218808026,3.22684884736685,8.50899828962246
dico,Murena,11.09,4.10895799222173,3.18602685284659,8.50831124047143
dico,testimonium,17.94,4.01995298616298,3.13153866756252,9.00617182422013
dico,sententia,75,3.87300312044422,3.04074656773299,10.379910515881
dico,Epicurus,12.27,3.59110968735911,2.86394335367748,8.78167325914846
dico,ante2,42.38,3.39047181866318,2.73622593091838,10.0067042744431
dico,audeo,31.04,3.38757629327398,2.73437236226906,9.72903190209858
dico,contra2,8.22,3.32046209741544,2.69133061101049,8.49738216993923
dico,facultas,10.28,3.17607218808026,2.59824018794448,8.7722392269151
dico,se,30.35,3.14212485615693,2.5762612812257,9.79096359469119
dico,Uerres,7.47,3.10895799222173,2.55475507600474,8.49331436771991
dico,quomodo,11.5,2.94780320040715,2.4498201828262,8.97743613503847
dico,Caelius,8.96,2.89596426888753,2.41591863115052,8.76422315192686
dico,sapiens,8.67,2.83367999063319,2.37509663663027,8.76222913332
dico,ita,63.43,2.78702989733437,2.34445966716838,10.4879571724494
dico,audio,36.65,2.71872388394346,2.29950827930611,10.0907586375337
dico,libenter,6.08,2.71040861573145,2.29402881354148,8.48388668846435
dico,incipio,5.91,2.66149901525051,2.26176795132326,8.48254710353529
dico,saepe,25.54,2.65596083170908,2.25811164012015,9.81677614830387
dico,exeo,7.34,2.54048361428914,2.18172524364973,8.75166100325821
dico,nescio,9.08,2.52399549150057,2.17079617311754,8.95915886384668
dico,difficilis,5.45,2.52399549150057,2.17079617311754,8.47853908213775
dico,initium,5.1,2.41864249135434,2.10083758451063,8.47521129204508
dico,fors,9.68,2.33957092036314,2.0481938510252,9.11530592926159
