lemma,collocate,LogL,LR,MI,LogDice
dies,hodiernus,230.83,9.431855823419,5.85421149150669,11.4447125534502
dies,hesternus,63.05,8.65424824475545,5.66352168504222,10.2488166625499
dies,festus,61.42,8.39121383892165,5.58347897736869,10.2471402162227
dies,quintus2,55.34,7.51674472100551,5.25805657693406,10.2387998843064
dies,prope2,20.56,6.58385891686405,4.81622382465502,9.40151880216271
dies,septimus,34.27,6.58385891686405,4.81622382465502,9.89901089505923
dies,paucus,151.78,6.37045527875486,4.70328341347442,11.2963071042667
dies,posterus,37.7,6.10992772853164,4.56029045051782,10.0632843819815
dies,interpono,24.99,6.08135857633486,4.54429010917138,9.67421308364899
dies,quinque,29.45,5.79030979433147,4.37796889372386,9.88096282518753
dies,ante2,181.26,5.75669551372626,4.35839073102954,11.4678404653615
dies,uiginti,16.05,5.3614664955276,4.12307664409507,9.38158458726189
dies,post2,35.31,5.11819534451524,3.97404106493459,10.1636246129112
dies,decem,15.1,5.10992772853164,3.96892596426782,9.37502718671573
dies,tertius,39.98,5.08135857633486,3.95122638716841,10.2803488872193
dies,singulus,26.34,4.60403679880168,3.65047223314928,9.99115280993631
dies,ante,36.08,4.30532341749007,3.45810034050182,10.3055803655104
dies,post,35.96,4.29435229966906,3.45098287273296,10.3042001030415
dies,quartus,11.99,4.29435229966906,3.45098287273296,9.34445360668684
dies,nox,34.18,4.13907407419115,3.34988675586159,10.283721571698
dies,spatium,10.76,3.9724242047817,3.2406874638966,9.32717116553809
dies,reuertor,10.57,3.92089390414162,3.20678591222092,9.3240607431237
dies,laetus,10.29,3.84689332269784,3.15799574805149,9.31941317472715
dies,consequor,8.87,3.46838169944411,2.90668131977058,9.2919724285722
dies,Roma,8.46,2.76794198130302,2.43552095239702,9.45007828824239
dies,longus,6.33,2.76509923153419,2.43359602398744,9.22087650688847
dies,autem,18.12,2.50490757546923,2.25706040426053,9.99175813683131
dies,primum,8.98,2.49074951247257,2.24743569088632,9.56324846563687
dies,constituo,5.31,2.46838169944411,2.23222627222279,9.1810634245103
dies,totus,10.53,2.45457589991908,2.22283653187295,9.67697170608808
