lemma,collocate,LogL,LR,MI,LogDice
duo,piscis,26.18,7.92774958939892,5.80776473326167,10.4304673035186
duo,cohors,18.4,5.8921256796682,4.58852445680495,10.2945912439349
duo,legio,72.64,5.83182516940039,4.54952229900168,11.2300188411673
duo,mille,32.46,5.34278708867777,4.22957936433168,10.6980092684213
duo,praeterea,14.38,4.87463825293936,3.9183667944697,10.1357676584082
duo,consul,37.39,4.38755695879779,3.59079339299062,10.5660127955149
duo,inter,17.58,3.89388613753264,3.25591860079856,10.1329743605026
duo,rex,13.04,3.69317162961436,3.11913261801656,9.95914412272889
duo,castra,9.11,3.51496806406045,2.99743568303904,9.76107420896679
duo,urbs,6.41,2.77800246989424,2.49218110432251,9.46740050684674
duo,pars,5.95,2.64605133930009,2.40145225093275,9.40825283434405
duo,aut,5.42,1.81671827701018,1.82995398729552,9.08955343315918
duo,hic,12.16,1.59210402595838,1.67488650703733,9.04241392699356
duo,cum,5.61,1.31254911612038,1.48176593005745,8.83521402607649
