lemma,collocate,LogL,LR,MI,LogDice
ego,rescribo,17.1,4.70550069575435,3.33077394679854,8.08582154685209
ego,Hercules,25.02,4.61239129136287,3.28425393116365,8.48858941799126
ego,Antium,10.51,4.02742879064171,2.97409900285981,7.79780192165449
ego,satisfacio,10.11,3.91195157322178,2.90956048172224,7.79746448281208
ego,ualde,36.57,3.8721505651638,2.88708762587018,9.08201176828858
ego,mehercule,19.13,3.7544102962353,2.81994832303255,8.48422186527325
ego,erga,10.28,3.22007386858411,2.50409537361407,8.07976296218039
ego,credo,73.39,3.18497006762819,2.48277260414525,9.99423544254016
ego,niger,7.48,3.15295967272557,2.46327337909382,7.79443264622996
ego,hodie,7.26,3.08882933530586,2.42405266594054,7.79409634220796
ego,interrogo,6.85,2.96853510158814,2.34994469378682,7.79342407327507
ego,sollicito,6.85,2.96853510158814,2.34994469378682,7.79342407327507
ego,uero,74.97,2.95808074395098,2.3434721792812,10.1007859528644
ego,amo,28.79,2.90768954636762,2.31220436580397,9.22736161392294
ego,admoneo,8.82,2.89814577369675,2.30626963028415,8.07741672346373
ego,persuadeo,8.82,2.89814577369675,2.30626963028415,8.07741672346373
ego,narro,8.63,2.8575037891994,2.28095182229986,8.07708199542713
ego,summus,10.27,2.76439438480792,2.22268291417589,8.29588424755368
ego,libet,6.13,2.7544102962353,2.21641330116229,7.79208088972861
ego,quotiens,6.13,2.7544102962353,2.21641330116229,7.79208088972861
ego,scribo,74.38,2.72512950250328,2.19800273931911,10.1873494683851
ego,perturbo,5.51,2.56799717200441,2.09863026550591,7.7907395079044
ego,coniunctus,5.37,2.52492845011253,2.07123129131779,7.79040444340135
ego,nuntio,8.5,2.44246628992056,2.01858755783237,8.29189355386374
ego,quidem,78.71,2.38597909857408,1.9823916317009,10.3770489213127
ego,accuso,6.31,2.32698907250062,1.94447958567865,8.07174152879581
ego,hic2,15.77,2.32698907250062,1.94447958567865,8.96045336240933
ego,uerto,6.19,2.29950833607851,1.92678000857925,8.07140869471053
ego,autem,52.12,2.24382247135672,1.89084210227489,10.0980273304254
ego,tandem,7.43,2.24083242875091,1.88890973452384,8.28891095016136
