lemma,collocate,LogL,LR,MI,LogDice
et,erectus,24.77,4.81938138127229,2.98475028035894,7.66849815010631
et,Fannius,16.75,4.04177380260874,2.65932787992431,7.48588007737245
et,mansuetudo,12.04,3.71984570772138,2.50517720009706,7.26288477303798
et,inconstantia,8.74,3.6267363033299,2.45865718446216,6.97564757343405
et,trux,8.74,3.6267363033299,2.45865718446216,6.97564757343405
et,gemitus,11.46,3.58234218397144,2.4361843286101,7.26273652605824
et,laelius,22.91,3.58234218397144,2.4361843286101,7.9536626351491
et,cottidianus,16.38,3.45681130188759,2.37164580747253,7.6668683993937
et,exsulto,8.19,3.45681130188759,2.37164580747253,6.97549926049347
et,strepitus,8.19,3.45681130188759,2.37164580747253,6.97549926049347
et,uiginti,16.38,3.45681130188759,2.37164580747253,7.6668683993937
et,Flaccus,10.92,3.45681130188759,2.37164580747253,7.26258830105241
et,protinus,13.65,3.45681130188759,2.37164580747253,7.48513917195218
et,angustus,10.42,3.34133408446765,2.3110211856561,7.26244009801398
et,blandus,10.42,3.34133408446765,2.3110211856561,7.26244009801398
et,circumdo,7.7,3.30480820844254,2.291603099799,6.97535096954636
et,modestia,7.7,3.30480820844254,2.291603099799,6.97535096954636
et,pecus2,7.7,3.30480820844254,2.291603099799,6.97535096954636
et,constans,9.96,3.23441888055114,2.25386277181615,7.26229191693643
et,alacer,7.26,3.1673046846926,2.21749512764527,6.9752027005862
et,locuples,16.79,3.14868900652525,2.20734275618126,7.81968761959679
et,necessitudo,9.54,3.13488320700022,2.19979555054587,7.26214375781326
et,aeger,11.82,3.11577438405252,2.18932425067858,7.48454684259975
et,nubes,11.82,3.11577438405252,2.18932425067858,7.48454684259975
et,coniunctio,6.85,3.04177380260874,2.14850225615832,6.97505445360646
et,conquiro,6.85,3.04177380260874,2.14850225615832,6.97505445360646
et,misericordia,13.71,3.04177380260874,2.14850225615832,7.66598056269732
et,subicio,6.85,3.04177380260874,2.14850225615832,6.97505445360646
et,Scaeuola,9.14,3.04177380260874,2.14850225615832,7.26199562063797
et,uagus,9.14,3.04177380260874,2.14850225615832,7.26199562063797
