lemma,collocate,LogL,LR,MI,LogDice
ex,captiuus,53.51,7.79013933655715,4.90519406612998,9.41576165005294
ex,contrarium,33.42,6.71975000866575,4.56872182950877,9.07928941343173
ex,pompeianus,16.32,5.5677469152207,4.05789620574278,8.56846378966574
ex,altum,18.21,4.81285941305723,3.65243109763461,8.84815453735222
ex,Britannia,17.83,4.73485690105596,3.60797933506378,8.84743121001508
ex,gemma,12.45,4.48028407397036,3.46005920498716,8.5619206910768
ex,praeceptum,24,4.35829354959175,3.38773854340753,9.23853856968554
ex,Sicilia,26.2,4.14628314678242,3.2600380710938,9.38276008992458
ex,interuallum,10.63,3.98278441449954,3.15995461253682,8.55686104891322
ex,sinus,10.63,3.98278441449954,3.15995461253682,8.55686104891322
ex,conspectus,10.01,3.81285941305723,3.05459409687899,8.55470044310332
ex,fuga,25.04,3.64293441161492,2.94798436182073,9.4939597799191
ex,egredior,8.96,3.52335279586225,2.87227254008504,8.55039318590574
ex,portus,11.94,3.52335279586225,2.87227254008504,8.82951600496185
ex,inopia,11.48,3.42819556282191,2.8116479182686,8.82738758982702
ex,urbs,80.23,3.42381712231133,2.80885071364754,10.5764355881909
ex,exeo,19.84,3.39782191377839,2.7922298324115,9.35904907673107
ex,oppidum,22.11,3.33892822472482,2.75448950442866,9.48093251306532
ex,ager,26.7,3.26031839002845,2.70393722526582,9.68117944122991
ex,castra,39.65,3.23862331892913,2.68995098329108,10.0385521112443
ex,pauci,7.71,3.17542949244194,2.64912898877083,8.54396688746021
ex,aurum,10.03,3.12480341937197,2.61633916594784,8.81962193131665
ex,frumentum,7.47,3.1083152965834,2.60564387683109,8.54254441211367
ex,complures,7.35,3.07589381889103,2.58459046763326,8.54183393251007
ex,inferus,6.92,2.95303707110549,2.50454775995972,8.53899705117487
ex,equus,8.96,2.8953215732492,2.46680743197687,8.81261419415925
ex,iter,20.06,2.88592287524695,2.4606535664025,9.561934405001
ex,Asia,8.76,2.85350139755458,2.43940845778876,8.81121852052027
ex,calamitas,6.34,2.78638720169604,2.39534846799473,8.53475676213598
ex,pars,41.8,2.76555369827887,2.38164962363657,10.2203661826176
