lemma,collocate,LogL,LR,MI,LogDice
exercitus,traduco,45.43,7.05152574621123,5.28474453570281,10.7355136638797
exercitus,inuictus,21.73,6.78849134037744,5.13521280173184,10.0846492044792
exercitus,comparo,46.68,6.33281185660125,4.86554923478274,10.8160114341322
exercitus,duco,68.14,5.56609891904099,4.38799839990162,11.1027077992593
exercitus,romani,16.57,5.44745442254237,4.3120124929237,10.0110159534357
exercitus,deduco,15.14,5.08067209187075,4.07434084104658,9.97762893740299
exercitus,Catilina,14.22,3.93051034524987,3.30932032613433,10.0110159534357
exercitus,imperator,9.25,3.55583058358716,3.05577126005201,9.73497545599943
exercitus,legatus,11.99,3.48836761580842,3.00996172402071,9.8973566349632
exercitus,signum,8.95,3.4762134155238,3.00170403878173,9.71641343813937
exercitus,Caesar,26.34,3.43172149627777,2.97146415359201,10.2663065300963
exercitus,castra,11.46,3.3824989807016,2.93798822439562,9.86683544592832
exercitus,noster,36.85,3.35758851939527,2.92103866608185,10.3533457680596
exercitus,legio,7.93,3.20352883965628,2.81609840678659,9.64757383510241
exercitus,hostis,14.66,3.03717045323416,2.7025745804896,9.9438766505981
exercitus,romanus,11.86,2.6428138851818,2.43273364567909,9.7756023095297
exercitus,apud,5.65,2.56095561576503,2.3766103214668,9.4514001655003
exercitus,totus,5.04,2.3824989807016,2.25414343649799,9.38818527129324
exercitus,cum,44.45,2.35207282362222,2.23324868763036,9.90781826883884
exercitus,uenio,7.5,2.2180284093514,2.14114858527855,9.52039303698725
exercitus,que,12.25,1.42763134912027,1.5968142985562,9.28544798292726
exercitus,in,5.47,0.87706606123606,1.21672922930075,8.93214456557385
