lemma,collocate,LogL,LR,MI,LogDice
facio,mentio,47.63,6.01658404938787,4.26077522010016,9.54202556883049
facio,impetus,60.25,4.36888579331875,3.37608982764133,10.1109044992156
facio,loco,11.47,4.20922912733027,3.27994596708843,8.56119631581876
facio,certus,81.64,4.11846366340709,3.22468328841338,10.4427057815551
facio,recte,16.7,3.81495018821822,3.03699978847804,9.05265955627606
facio,proelium,39.6,3.78136758769384,3.01598042125397,9.87690602449191
facio,insidiae,19.34,3.71890350074719,2.97675970810069,9.22508703942481
facio,conor,22.36,3.69465595450051,2.9614922359699,9.37083430845569
facio,satis,41.35,3.68360076599151,2.9545235666538,9.94420970638802
facio,iter,43.19,3.60477045098331,2.90469463757676,10.0057388963349
facio,polliceor,13.82,3.33851214427523,2.73471891660511,9.0399564920198
facio,diues,7.95,3.24399454549094,2.67381016351812,8.54681792289105
facio,potestas,20.88,3.20922912733027,2.65133730766606,9.4748204397084
facio,reus,10.08,3.13394100002603,2.60254714349663,8.82102939108453
facio,facinus,12.24,3.07172560358033,2.56210617393811,9.03088138610668
facio,consultum,9.74,3.062387739001,2.55602712786173,8.81891894358999
facio,oro,7.25,3.04695769843139,2.54597679200823,8.54254441211367
facio,facilis,7.04,2.98683670599382,2.50675607885495,8.54112395732938
facio,aliter,6.94,2.9576903603343,2.48770788388426,8.54041448585584
facio,iniuria,9.97,2.68030066152344,2.3053863270903,9.01434069197392
facio,rogo,9.89,2.66608680230374,2.29599658674046,9.01365739847279
facio,bene,14.91,2.56537293755554,2.22934289760668,9.43305102683211
facio,nondum,5.21,2.45179943060435,2.15393470423221,8.52563068967161
facio,adhuc,6.92,2.44672844105692,2.15056201975357,8.79599331292321
facio,sapiens,5.14,2.43162154866672,2.14051168390007,8.52493212170747
facio,finis,11.24,2.3320858751158,2.07418904096899,9.29692559903054
facio,uoluntas,7.94,2.31614433124678,2.06355064276394,8.99471231223034
facio,uerbum,8.01,2.07798459405202,1.90412290583584,9.14083379921493
facio,pax,6.14,1.97218993002942,1.83302698415211,8.97152478777541
facio,saepe,9.73,1.96130161388668,1.82570094406003,9.37564011961877
