lemma,collocate,LogL,LR,MI,LogDice
fero,moleste,249.22,12.8964742059896,6.32543188884438,11.5361467594098
fero,auspicium,18.3,5.93454224682309,4.47276366652933,9.54953620377289
fero,grauiter,34.28,5.62968766529467,4.29044210973538,10.1896406483484
fero,fortiter,21.43,5.34957974610193,4.11859185280872,9.80279805233819
fero,quaestio,20.61,5.18911507390869,4.01850839425174,9.79530738060904
fero,auxilium,38.88,4.96130915638587,3.87461421459167,10.3907727048337
fero,ops,19.45,4.204381830562,3.38420171371472,9.91739069399632
fero,uix,14.49,3.99409909150354,3.24531850601825,9.70782969444798
fero,impetus,13.12,3.72279706968615,3.06483013030596,9.67752434495265
fero,caelum,9.56,3.6469656567265,3.01414864382982,9.42873136568759
fero,lex,31.38,3.60922356273495,2.98888897707058,10.3262341836961
fero,casus,8.88,3.46741623639579,2.89378496157994,9.40994345182196
fero,sententia,16.79,3.33550456089021,2.80505684597126,9.92529141229476
fero,arma,16.24,3.26045385562895,2.75447134918315,9.90983080918838
fero,facile,6.61,2.84209599805849,2.47128366631921,9.32717116553809
fero,laus,6.54,2.82233274323706,2.45786064598707,9.3240607431237
fero,signum,6.47,2.80283656761127,2.44461541923705,9.32095996544545
fero,certe,6.31,2.75521854737853,2.41225013473502,9.31324982701949
fero,labor,6.18,2.71822433989632,2.38709157509886,9.3071242335928
fero,animus,15.96,2.3098220368642,2.10861321787713,9.90315855757931
fero,amicus,5.82,2.17965474465962,2.01960571505591,9.38984227250087
fero,Caesar,8.63,2.16402409294586,2.00891042593916,9.61381535517745
fero,possum,27.74,2.0529269776863,1.93285038722912,10.0105751335035
fero,sui,14.63,1.64343927807286,1.65194297159428,9.73161459947142
fero,non,32.79,1.63974132995859,1.64940261891613,9.85730628794858
fero,neque,5.43,1.63398780272829,1.6454500446003,9.4201476219962
