lemma,collocate,LogL,LR,MI,LogDice
fio,obuiam,23.49,7.29511696736207,5.34548315010985,9.91682873837602
fio,concursus,27.72,6.55815137319586,4.94001804200168,10.1713586035109
fio,senex2,15.64,5.21711445536079,4.11681773319354,9.83851613494027
fio,reus,13.08,4.55815137319586,3.68725507350632,9.78294628378546
fio,soleo,36.97,4.36350394234232,3.55836406043829,10.5642222847411
fio,placeo,13.84,3.85771165505477,3.22023207239872,9.90983080918838
fio,plebs,10.18,3.80683048605259,3.18599890075648,9.68696623681307
fio,possum,85.37,3.15794467884281,2.7467293707867,10.5309551837581
fio,ita,20.41,2.89265753416269,2.56597398502549,10.0616596862545
fio,ut,32.42,2.02808063097078,1.9737145791385,9.82346120015191
fio,idem,5.95,1.9235581047501,1.90186505256374,9.42528902149662
fio,uolo,6.83,1.8725849315363,1.8668104562794,9.46203856370536
fio,quis,9.92,1.41363879092656,1.55079685138624,9.38276008992458
fio,non,5.16,0.905664878277697,1.20036626251432,9.08001907417188
