lemma,collocate,LogL,LR,MI,LogDice
gloria,sempiternus,24.54,7.45430638527814,5.59389481873279,10.5932624379622
gloria,laus,48.26,5.80705960630265,4.55982105120225,11.0327958100605
gloria,consequor,15.91,5.25636700766624,4.19517793761434,10.3028217430714
gloria,imperium,9.9,3.7215902641133,3.15590508873254,9.82561273010436
gloria,uel,8.85,3.44373714356796,2.96560958609944,9.70954055885161
gloria,uirtus,11.14,3.3129505360326,2.87589428677741,9.74261581053339
gloria,bellum,9.32,2.93999843812077,2.61964157685593,9.55294668210905
gloria,tantus,5.47,2.50834622499103,2.32242654374542,9.25797063129471
gloria,noster,7.19,2.48513151141528,2.30642620239898,9.30521765532222
gloria,meus,6.15,2.25117433844591,2.14509845827136,9.1716862626977
gloria,suus,7.09,2.14046302052247,2.06871145728965,9.13786471422219
gloria,magnus,6.83,2.09138274749419,2.03483935245506,9.10814824189371
