lemma,collocate,LogL,LR,MI,LogDice
habeo,delectus,59.26,6.5331265299285,4.58218098288277,9.85951428178004
habeo,uenalis,23.74,5.94816402920735,4.31024726739913,9.05746511860768
habeo,parum2,15,5.15461490667477,3.88903380232283,8.76800051448961
habeo,panis,17.14,4.56965240595362,3.54810721535223,9.0432930479293
habeo,multum2,12.21,4.39562300617857,3.44274669969441,8.76001821046493
habeo,possessio,15.66,4.27009212409471,3.36578565855828,9.03802987788502
habeo,popularis,13.9,3.91254011947662,3.14264210724407,9.030186700424
habeo,nisi2,10.38,3.90085831442899,3.13526199994645,8.75209911936598
habeo,aditus,8.9,3.49750262019778,2.87743289064435,8.74337306050617
habeo,necessitas,8.9,3.49750262019778,2.87743289064435,8.74337306050617
habeo,nondum,14.75,3.4834957622039,2.86838305512443,9.22846827679668
habeo,comitium,8.77,3.4627372020371,2.85496003479229,8.74250462797222
habeo,facultas,11.7,3.4627372020371,2.85496003479229,9.01724990939328
habeo,numerus,19.17,3.30926272137539,2.75533019384345,9.52999519392809
habeo,certus,29.72,3.27831263089968,2.73515883497967,9.92632207458646
habeo,potestas,18.73,3.25726808373712,2.72142864216777,9.52672988490435
habeo,contio,10.35,3.18262928284437,2.67263847799834,9.00701964114247
habeo,ratio,30.25,3.12713417025266,2.63627083382746,9.98436801195284
habeo,male,9.77,3.06063875846576,2.5925957703248,9.00194348811061
habeo,oratio,15.83,2.90752204471,2.49164054813489,9.50177889235487
habeo,quomodo,8.99,2.89505269274778,2.48339647835981,8.99437724772729
habeo,auris,6.68,2.87777470131595,2.47196778253618,8.72443962057458
habeo,instituo,6.45,2.81066050545741,2.42751601996535,8.72188534076948
habeo,auctoritas,18.74,2.7535165983538,2.38959678510306,9.70347073748453
habeo,satis2,8.3,2.7465301680377,2.38495640554655,8.98686782570516
habeo,nihil,67.82,2.72952374273201,2.37365685029262,10.6358438900182
habeo,quantum,6.01,2.68512962337355,2.3441344110263,8.71679627126201
habeo,praeclarus,5.44,2.51520462193124,2.2308057257193,8.70921089987276
habeo,quisquam,13.74,2.43088833599776,2.1743916364392,9.56918320115669
habeo,usus,5.09,2.41211112896714,2.16181285423234,8.70418576367008
