lemma,collocate,LogL,LR,MI,LogDice
hic,coram2,18.65,4.27937605341708,3.05321269850804,8.0595656240048
hic,hactenus,11.07,4.24285017739197,3.03486355983985,7.5505833187331
hic,affirmo,10,3.9209220825046,2.86780947517668,7.55005630949824
hic,maledictum,9.53,3.78341855875467,2.79370150302296,7.54979290899625
hic,ordo,96.18,3.71726622374974,2.757498454359,9.84997661261328
hic,commutatio,9.11,3.65788767667081,2.72470863153601,7.54952957785582
hic,omitto,25.41,3.47026067349504,2.61934811587818,8.63896869251561
hic,igitur,101.04,3.26380979602761,2.50053996480655,10.0559318658381
hic,Diuitiacus,7.7,3.24285017739197,2.48831985347178,7.54847694617968
hic,difficultas,7.41,3.15538733614163,2.43702655908423,7.5482139612998
hic,materia,7.41,3.15538733614163,2.43702655908423,7.5482139612998
hic,qua2,75.51,3.05797483448368,2.37934744749755,9.86258597071716
hic,ergo,51.75,3.05123010485033,2.37533299007889,9.50550747094736
hic,fundamentum,6.87,2.99492266394838,2.3417163792799,7.54768819893227
hic,praecipio,11.12,2.93542165219972,2.30599829667782,8.05431764554715
hic,persona,6.62,2.9209220825046,2.29726461670907,7.54742542137196
hic,insula,8.75,2.90300017450734,2.28645370060485,7.83300775551947
hic,quanto,10.2,2.77036240592922,2.20591483812084,8.05327134673341
hic,centum,5.75,2.65788767667081,2.13692196663389,7.54637500110731
hic,liber2,13.04,2.60726160360084,2.10566942312978,8.38374851782966
hic,actio,5.56,2.59899398761724,2.10055432246301,7.5461125683542
hic,gladiator,5.56,2.59899398761724,2.10055432246301,7.5461125683542
hic,post,27.62,2.58749834877941,2.09343685469415,9.1263305609769
hic,adiungo,5.38,2.54241045925087,2.06546300265174,7.54585020445396
hic,decet,5.2,2.4879626752285,2.03156145097606,7.54558790937049
hic,inuideo,5.2,2.4879626752285,2.03156145097606,7.54558790937049
hic,quamquam2,10.4,2.4879626752285,2.03156145097606,8.23089805922316
hic,crimen,22.04,2.45143679920338,2.00874677320989,8.98527053437108
hic,contra2,6.77,2.44843431104186,2.00686883838569,7.83038926750854
hic,significo,6.77,2.44843431104186,2.00686883838569,7.83038926750854
