lemma,collocate,LogL,LR,MI,LogDice
hostis,confligo,22.74,7.11302299794398,5.16996764778489,9.74675415519204
hostis,tergum,33.4,6.37605740377777,4.76450253967673,10.2158103660817
hostis,numerus,45.78,5.1264435137063,3.99989639513464,10.6250705451585
hostis,classis,20.28,5.11302299794398,3.99131265144325,9.9438766505981
hostis,acerbus,14.76,4.99754578052404,3.91720467928952,9.67807728939582
hostis,pello,14.62,4.96101990449893,3.89367418187933,9.67586734374502
hostis,domesticus,19.13,4.89063057660753,3.84821180780257,9.92670884697573
hostis,copia,56.86,4.85668324468419,3.8262329010838,10.7911745109853
hostis,impetus,32.95,4.83291507875124,3.81082427573095,10.3871534464494
hostis,aduentus,17.26,4.52806049722282,3.61182302973834,9.89323291777934
hostis,acies,12.74,4.47559307732869,3.57733685366717,9.64115670078177
hostis,multitudo,25.28,4.45005798522155,3.56052973535079,10.2120296432418
hostis,premo,12.17,4.32875168899942,3.48048702767726,9.62844466519341
hostis,iudico,39.25,4.22549772720239,3.41210973023252,10.531143969864
hostis,transeo,9.6,3.65359137930668,3.02990148428862,9.55343484418855
hostis,appello,8.74,3.42496700425872,2.87575080446136,9.52077103736976
hostis,castra,13.79,3.29881440484531,2.79042151365472,9.86323472189395
hostis,exercitus,15.59,3.1692058333371,2.7025745804896,9.9438766505981
hostis,iter,7.04,2.96101990449893,2.56112409676613,9.44087375251332
hostis,urbs,13.11,2.82351638074899,2.46748849173214,9.84111691664033
hostis,Antonius,6.14,2.70551917135054,2.38701613850956,9.38818527129324
hostis,relinquo,5.11,2.40643105282129,2.18260362390142,9.31786877287578
hostis,ab,31.92,2.17442354260812,2.02366251575153,9.97790034465123
hostis,cum,9.96,1.26728698415852,1.39991490362713,9.40666427165891
