lemma,collocate,LogL,LR,MI,LogDice
ille,obuius,10.85,4.12828114417329,3.11881894172792,7.87349478313278
ille,lentus,10.42,4.00275026208943,3.04982607024097,7.87313081588582
ille,demens,8.12,3.339785249367,2.66683381798486,7.87058674764104
ille,abduco,7.86,3.26578466792322,2.62238205541403,7.87022383709451
ille,mereo,7.86,3.26578466792322,2.62238205541403,7.87022383709451
ille,obseruo,7.39,3.12828114417329,2.53900044647498,7.86949841087481
ille,at,86.17,3.12640872984052,2.5378582418962,10.2338288715844
ille,aio,43.04,3.06415080675357,2.4997797333217,9.61485323798988
ille,praecipio,8.89,2.91528742083909,2.40797218406857,8.15247799681686
ille,pestis,8.52,2.83282526064711,2.35667888968102,8.15175649606406
ille,beatus,11.6,2.6569754252477,2.24633083251216,8.54753195362471
ille,sicut,11.6,2.6569754252477,2.24633083251216,8.54753195362471
ille,Epicurus,7.53,2.61043283931067,2.21691694730586,8.14959511193733
ille,quidem,104.96,2.6030908639695,2.21226937890932,10.592867882818
ille,et2,22.14,2.57648550738733,2.1954107420849,9.21459376370898
ille,contumelia,5.43,2.54331864345213,2.17435733288707,7.86551794605709
ille,uerus,17.26,2.46669736184922,2.12556716871764,9.03750508123168
ille,ergo,20.08,2.41778776136827,2.09431462521353,9.20938812988171
ille,exstinguo,5.02,2.41778776136827,2.09431462521353,7.86443510891826
ille,quando,5.02,2.41778776136827,2.09431462521353,7.86443510891826
ille,nox,16.82,2.28227279071179,2.0073032482239,9.12237675289208
ille,uetus,8.96,2.24786275992596,1.98511533324854,8.54041448585584
ille,quamquam2,5.75,2.19539534003182,1.95121378157286,8.14456997573466
ille,quisquis,14.06,2.1648070201984,1.93141115427668,9.02810553422017
ille,autem,45.16,2.12828114417329,1.90772866963312,10.1032444667026
ille,tempus,39.87,2.08946189528276,1.88251725028662,10.0187619255504
ille,Iuppiter,6.3,2.02089760879969,1.83788509626586,8.35915732511767
ille,aetas,14.99,2.01028393477483,1.83096465342128,9.19325044061354
ille,uero,21.99,1.98285070465172,1.81306344309204,9.56291978855914
ille,respondeo,9.58,1.95835614273097,1.7970631017456,8.80947666326049
