lemma,collocate,LogL,LR,MI,LogDice
in,medium,42.45,6.14447570570427,3.56633926093966,8.16976844485611
in,Epirus,104.04,6.00697218195434,3.53354943811667,9.08257708762592
in,formianus,55.4,5.79655240228396,3.47932788395003,8.48712125843225
in,Africa,62.21,4.8034387878692,3.15349404553388,8.79434631831538
in,introeo,36.67,4.72943820642543,3.12450650866062,8.28590055837287
in,altum,35.65,4.61396098900549,3.07798649302573,8.28571729070993
in,exilium,98.14,4.57887852985004,3.06354580887094,9.30006523756749
in,campus,62.5,4.55951320498311,3.05551363717367,8.85778834811503
in,actus,19.06,4.46640380059163,3.01629292402039,7.6995812451647
in,publicum,19.06,4.46640380059163,3.01629292402039,7.6995812451647
in,Hispania,25.97,4.36686812704072,2.9732755389367,8.03495276620972
in,conspectus,40.69,4.35597981089798,2.96850226018404,8.48492305274768
in,citerior,14.72,4.33712078364667,2.96020345736935,7.47680486844613
in,contrarium,14.72,4.33712078364667,2.96020345736935,7.47680486844613
in,tusculanus,18.19,4.29647879914932,2.94218495186667,7.69939770841095
in,statio,13.92,4.14447570570427,2.87319208037972,7.47662126429616
in,posterus,34.06,4.07408637781287,2.84040225755673,8.38942990706598
in,Syria,16.68,4.00697218195434,2.80865355924215,7.69903073592977
in,forum,102.16,3.96938899914618,2.79067105669171,9.50810688774759
in,hortus,19.47,3.92208328436782,2.76783156472189,7.88061875152083
in,Asia,70.96,3.90346760620047,2.75878172920197,9.17005123644554
in,Cilicia,16.01,3.88144129987048,2.74802893742571,7.69884730017762
in,hiberna,16.01,3.88144129987048,2.74802893742571,7.69884730017762
in,aeuum,12.56,3.82254761081691,2.71904140055246,7.47625415709674
in,Capitolium,37.67,3.82254761081691,2.71904140055246,8.56974104556423
in,praesentia,12.56,3.82254761081691,2.71904140055246,7.47625415709674
in,praeceps,27.95,3.79083875108957,2.70329304358432,8.28388645900117
in,Menapii,15.39,3.76596408245054,2.69087052358576,7.69866389806798
in,Apulia,9.12,3.72943820642543,2.67252138491757,7.18912279599435
in,resideo,9.12,3.72943820642543,2.67252138491757,7.18912279599435
