lemma,collocate,LogL,LR,MI,LogDice
inquam,quomodo,17.91,4.64661206464545,3.6550749639025,10.0156563329922
inquam,ergo,24.78,4.37779530621765,3.47659218341571,10.2723005540365
inquam,iste,22.08,2.84174240597744,2.43740331521841,10.012869522085
inquam,sic,10.8,2.8005477706245,2.40923243825171,9.7219459557091
inquam,uos,13.98,2.66158827221824,2.31412842276107,9.80926359210283
inquam,quaero,7.8,2.62077205971019,2.28617234549448,9.55002270341761
inquam,ego,29.91,2.03099254269126,1.88130068405712,9.72969464754576
inquam,hic,11.22,1.3131423478754,1.38678785470033,9.25845524482491
inquam,ille,8.1,1.31270027799577,1.38648289297067,9.22671120739595
inquam,tu,5.82,1.19510300870146,1.30534309248276,9.13561736444564
inquam,sum,5.18,0.633356395310182,0.917385567617206,8.8434506188447
