lemma,collocate,LogL,LR,MI,LogDice
is,discipulus,48.96,4.98782984880651,3.3511118809611,8.76114316036259
is,postridie,25.07,4.1658281507845,2.97608779835417,8.30964054567594
is,libellus,10.57,4.11336073089037,2.94977049003679,7.46572678327298
is,interrogo,13.24,3.32676436899956,2.52628687642595,7.97244463274766
is,modus,132.62,3.15400271538772,2.42689652775463,10.2807979218025
is,demum,9.74,3.13608080739045,2.41647201041875,7.75002475774052
is,aduentus,28.93,3.11336073089037,2.40322678366872,8.83640521144664
is,mercator,6.94,3.02589788964003,2.35193348928117,7.46354997747932
is,deprecor,6.41,2.86543321744678,2.25662330947685,7.46306688568249
is,doctrina,6.17,2.79143263600301,2.21217154690602,7.46282542727253
is,liber2,15.61,2.69550821600447,2.15410774595125,8.43356571649502
is,obseruo,5.72,2.65392911225307,2.12878993796696,7.46234268528874
is,uas,5.72,2.65392911225307,2.12878993796696,7.46234268528874
is,posteaquam,5.51,2.58979877483336,2.08956922481368,7.46210140165866
is,apud,53.94,2.49960096586178,2.034066440491,9.73709297928934
is,nuntio,12.02,2.47777215709925,2.02057635332673,8.3000343238705
is,praecipio,6.71,2.44093538891887,1.99776167556056,7.7468926024272
is,tempestas,8.3,2.42406157035448,1.98729037569327,7.96763346157159
is,dimitto,12.56,2.3385736712892,1.93404586117445,8.42974891796832
is,qua2,34.01,2.31540450683501,1.91956092825309,9.40740859621877
is,numerus,16.53,2.27358433114039,1.89335855585906,8.73990384627216
is,ob,16.07,2.23294234664304,1.8678252538539,8.73919571453007
is,locus,69.5,2.16382579787336,1.82425074844876,10.1532624612705
is,diligenter,6.09,1.992345329929,1.71535666020962,7.96404021300547
is,igitur,22.59,1.96254455239576,1.69632422804029,9.25667098660278
is,cupiditas,7.01,1.76589754389587,1.5699908099381,8.29122998383276
is,qui,486.31,1.70492586604337,1.53057242709023,11.5509217654671
is,dies,35.14,1.68356860269295,1.51673865106521,9.87477745834128
is,praeter,6.43,1.67754166947502,1.51283239609815,8.28980952904847
is,factum,5.48,1.67041723504164,1.50821345024185,8.13921377653414
