lemma,collocate,LogL,LR,MI,LogDice
ita,ni,26.01,6.2867777824911,4.65124644701612,9.68417994356439
ita,finio,16.42,5.45670278393341,4.17250913780163,9.38984227250087
ita,censeo,34.08,4.97865548712877,3.87863509510193,10.1590127676886
ita,sane,10.21,3.8244345684339,3.13361608383514,9.32250915243228
ita,necesse,8.57,3.38631345604202,2.8420952350762,9.28896942331243
ita,respondeo,10.06,3.10620553684928,2.65404300357326,9.50019032966973
ita,decerno,7.3,3.03716389241963,2.60752298793837,9.25506787163675
ita,Quirites,7.3,3.03716389241963,2.60752298793837,9.25506787163675
ita,fio,21.23,2.9755760941968,2.56597398502549,10.0616596862545
ita,loquor,11.44,2.91568363079985,2.52552415277228,9.6445740471233
ita,laudo,6.62,2.84789354125789,2.47968961642848,9.23356166641579
ita,placeo,6.26,2.74520787728333,2.41016355377987,9.22087650688847
ita,denique,5.93,2.64934786187581,2.34515872347087,9.20835024706929
ita,dico,59.26,2.64831773327732,2.34445966716838,10.4879571724494
ita,uiuo,9.65,2.60870587737846,2.31757076695204,9.58720170665936
ita,nolo,5.76,2.59872178880584,2.31079107996667,9.20145842103137
ita,ut,75.73,2.29431145517651,2.10365331901113,10.405831946661
ita,tamen,14.57,2.18244112267637,2.02734092242147,9.87690602449191
ita,scribo,8.53,2.14927425874117,2.00469844567171,9.59531534143353
ita,quidam,6.41,2.01575058590378,1.9134671294422,9.44928599980797
ita,si,27.87,1.851682630871,1.80120947291194,10.0361438459318
ita,atque,30.55,1.82797084238311,1.78497224069902,10.0470407208674
ita,facio,17.09,1.80457485619515,1.76894812746758,9.89684023939273
ita,multus,9.22,1.65295911542819,1.66503301847134,9.6686089812947
ita,uos,5.29,1.60870587737846,1.63468008655929,9.42700871237614
ita,enim,9.56,1.59510827397774,1.62535166070465,9.67827843593175
ita,sed,16.05,1.5689210112726,1.60738377048309,9.82399460677395
ita,sui,13.13,1.4883409250489,1.55207500705818,9.75529343855075
ita,cum,17.64,1.38038050028827,1.47792715375029,9.78219056865408
ita,sum,60.74,1.36732942750016,1.46896021327438,9.89853797000903
