lemma,collocate,LogL,LR,MI,LogDice
iter,conficio,27.18,5.35679229341695,4.27592252485806,10.6465932821742
iter,longus,12.97,4.51378506184042,3.7097468060089,10.111586860211
iter,facio,44.05,3.43422888729977,2.97368750906371,10.0747317678218
iter,per,16.62,3.30034592478213,2.8818670314788,9.85422326414563
iter,noster,14.67,3.03486419852959,2.69954547468484,9.70839965741582
iter,hostis,6.61,2.83358476434634,2.56112409676613,9.44087375251332
iter,ex,18.28,2.68762029000806,2.4606535664025,9.561934405001
iter,nunc,5.83,2.61068604539428,2.40767052397303,9.32873001230739
iter,magnus,6.62,2.0520832695783,2.02249351663276,9.10664786651848
iter,ad,7.23,1.62921790571046,1.73047096310979,8.88200618758324
iter,in,7.07,1.21333756819481,1.4430035257026,8.62793186794608
