lemma,collocate,LogL,LR,MI,LogDice
iudex,reicio,20.84,6.53417391830325,4.97151670906105,10.17863136284
iudex,conseruo,13.02,4.53417391830325,3.68366242075442,9.97167653887569
iudex,uos,40.29,3.7716732320299,3.16939445279745,10.4542213895267
iudex,primum,6.89,2.91526408565875,2.58505013208631,9.55538987902435
iudex,uero,6.01,2.66439649571183,2.41299824192981,9.46382268549886
iudex,scio,5.27,2.45075791011561,2.26624815092072,9.37994120151816
iudex,causa,8.72,2.43945526105011,2.2584789664478,9.55382554550237
iudex,ita,5.8,2.17160383891854,2.07422450832032,9.35801584088919
iudex,hic,10.06,1.36883618635658,1.52073582721007,9.09893158678879
iudex,non,10.71,1.36711425055532,1.51954700202548,9.10169389087766
iudex,ut,6.73,1.2981286549314,1.47191476657983,9.03176623005267
