lemma,collocate,LogL,LR,MI,LogDice
magnus,natu,91.7,8.60014681880922,5.19665087670158,10.0127008738006
magnus,pontifex,35.96,6.02523798275198,4.35412629506703,9.40319806368242
magnus,opus,92.44,4.67505162782311,3.63134731690072,10.5614150862662
magnus,numerus,66.95,4.49685901039719,3.52580433613884,10.3056666952036
magnus,pecus,12.21,4.40374960600571,3.46992387774438,8.70669517527551
magnus,clamor,22.48,4.14071520017192,3.3095812276692,9.37421052680917
magnus,indicium,10.42,3.91832277883547,3.17143088918838,8.7000173541329
magnus,copia,52.26,3.74839777739316,3.06445876963621,10.2541791694859
magnus,pars,105.73,3.69726928570732,3.03205152668144,10.8352924116049
magnus,cura,32.01,3.69445897028235,3.03026740488794,9.83333477619827
magnus,consto,11.84,3.49685901039719,2.90411611956104,8.96874541870101
magnus,praemium,14.73,3.48536337155936,2.89673601226341,9.1805252113649
magnus,aestimo,8.81,3.47775018744949,2.89184602696922,8.69173230259879
magnus,comparo,11.7,3.46828985820042,2.88576698089284,8.96792942518368
magnus,multitudo,22.1,3.33336027811431,2.79875560390321,9.60941633139314
magnus,potentia,7.93,3.2338246045634,2.73421708276564,8.68597333974678
magnus,uis,37.89,3.00116384777312,2.5823010407398,10.1733987266258
magnus,multo,11.38,2.92348448395125,2.53127623876895,9.15660062527966
magnus,praeterea,8.46,2.78316319555383,2.4387528698718,8.94295833308959
magnus,cursus,6.3,2.7714813905062,2.43103082377789,8.67212383121042
magnus,impetus,10.45,2.76220357691819,2.42489583521038,9.14796973608038
magnus,usus,8.14,2.71445044546982,2.39329049579504,8.93978120571492
magnus,pecunia,12.06,2.69225469935562,2.37858434840535,9.30865211777086
magnus,spes,21.82,2.66940948124633,2.36343753264536,9.82841385238407
magnus,templum,5.57,2.55575269945076,2.28792998013722,8.66406576988066
magnus,timor,7.42,2.55575269945076,2.28792998013722,8.93188227049038
magnus,periculum,14.48,2.33336027811431,2.13950997501895,9.62354441037557
magnus,dolor,7.41,2.21471578161569,2.05999791209121,9.11115576295767
magnus,gratia,7.41,2.21471578161569,2.05999791209121,9.11115576295767
magnus,uox,8.86,2.20997786260903,2.05681825917383,9.2696666710579
