lemma,collocate,LogL,LR,MI,LogDice
mens,agito,19.83,6.24784240858608,4.91371961033484,10.4834917718269
mens,diuinus,17.1,5.55978641490082,4.46640739229117,10.380113417373
mens,oculus,12.21,4.31973532706787,3.63563883385518,10.0780266637187
mens,bonus,32.1,3.93126754819293,3.37144474271061,10.3251067878608
mens,uester,7.41,3.05582363629315,2.772146287548,9.58720170665936
mens,unus,11.77,2.95997614977235,2.70629086282438,9.67719272498609
mens,quidam,6.88,2.9099727698297,2.67191940840991,9.51888246268189
mens,meus,8.8,2.45082943074994,2.35589617376327,9.39283181134924
mens,atque,7.36,1.64730998509637,1.80148717493735,8.94854271138349
mens,in,6.22,1.12863522961062,1.4430035257026,8.62793186794608
