lemma,collocate,LogL,LR,MI,LogDice
meus,pomponius,37.32,7.2333378258565,4.96473972478203,9.55617296442067
meus,lucilius,148.21,7.18271175278654,4.94412043757929,10.8999077111218
meus,necessarius2,26.88,6.54883965158443,4.66155346579429,9.33185501485052
meus,defensio,41.59,5.88226338530963,4.32038270839152,9.86941535276276
meus,consulatus,72.53,5.25933303438945,3.96840628523434,10.4970199240279
meus,pristinus,20.41,5.19520269696973,3.93066595725149,9.3155566331174
meus,mandatum,20.1,5.13380215230559,3.89429831308062,9.31440256489929
meus,spons,14.78,5.05579964030432,3.84777829744572,9.03366496480032
meus,meritum,13.3,4.65987096397318,3.60661624062884,9.02672049244751
meus,diligentia,25.76,4.54883965158443,3.53762336914188,9.68362361531638
meus,oratio,64.2,4.53819240738493,3.53097882642322,10.5034924385335
meus,collega,12.49,4.44574615862033,3.47308484800431,9.02211749237555
meus,Cicero,16.06,4.32644723024799,3.39786142676673,9.29385389667191
meus,reditus,11.79,4.25933303438945,3.35530181234793,9.01753558287044
meus,frater,41.43,3.8774623990458,3.11017935431494,10.2475590643963
meus,labor,33.59,3.80228800858903,3.06138919014551,10.0879769945719
meus,auris,13.25,3.76456834263987,3.0368480812294,9.27150659797991
meus,consuetudo,15.84,3.64837532513535,2.96101000483789,9.46955336020785
meus,perpetuus,9.14,3.54883965158443,2.89576948296949,8.99381905625312
meus,sententia,33.2,3.52714458048511,2.88151746026229,10.1335450824814
meus,casus,15.03,3.5171307918571,2.87493539606665,9.46096961651645
meus,coniunx,8.94,3.4963722316903,2.86128330689832,8.99158940092586
meus,inimicus,17.79,3.48354819133271,2.85284443825246,9.62005887181714
meus,familiaris,11.61,3.4333624341645,2.81978357599157,9.25398150542453
meus,periculum,33.53,3.34372522167982,2.76059470460124,10.1749883715615
meus,dolor,19.16,3.29730088458847,2.72987280584294,9.73531007203066
meus,officium,13.3,3.2333378258565,2.68747243977227,9.43982717994264
meus,epistula,13.22,3.22051378549892,2.67896175010437,9.43878170154109
meus,quasi,7.69,3.15398003424322,2.63475565759987,8.97502358863309
meus,inuidia,7.62,3.13380215230559,2.62133263726773,8.97392889777391
