lemma,collocate,LogL,LR,MI,LogDice
multus,praeterea,31.23,4.24693987991749,3.35057027444409,9.83819151231122
multus,inanis,10.75,3.98802158255593,3.18650215795948,8.90522782669754
multus,praetereo,10.75,3.98802158255593,3.18650215795948,8.90522782669754
multus,agito,10.59,3.94737959805858,3.16052667155622,8.90420689756344
multus,mensis,10.59,3.94737959805858,3.16052667155622,8.90420689756344
multus,nimie,10.59,3.94737959805858,3.16052667155622,8.90420689756344
multus,turba,24.28,3.89675352498861,3.12809139580307,9.69690062391579
multus,quanto,10.16,3.83190238063864,3.0864186994025,8.90115034908089
multus,nimis,8.95,3.50259475538568,2.87284459910444,8.89102880518288
multus,prosum,11.44,3.40305908183477,2.80770529693348,9.15679765020395
multus,annus,28.11,3.36241709733742,2.78103704985132,9.96487479743787
multus,multo,13.77,3.31511138255907,2.74994646278129,9.35657110189482
multus,memini,7.24,3.02984175825055,2.56140844064455,8.87207561938065
multus,uerbum,19.24,3.02454745858104,2.55789349853711,9.74173124612366
multus,qua,126.32,2.96868679124048,2.52077425718692,10.9537154472832
multus,saepe,25.53,2.95285472812473,2.51024319542806,9.98854309758367
multus,nox,13.47,2.88848590900501,2.46737949099627,9.48457218951277
multus,satis,10.33,2.73532912094359,2.36510064187586,9.31324982701949
multus,improbus,6.16,2.72498717672213,2.35818019903128,8.85638902321295
multus,tam,30.19,2.57814578839286,2.25974012621803,10.1843502392294
multus,cupio,5.12,2.4168648813598,2.15125948322396,8.83712060434707
multus,par,5.03,2.38938414493769,2.13274043545672,8.83521402607649
multus,malum,8.32,2.3785367627007,2.12542778861044,9.27793606254041
multus,fors,6.24,2.28441458533615,2.06191438288811,9.0791070814046
multus,labor,6.04,2.23772134988811,2.03036602515318,9.07455955196698
multus,quia,7.37,2.20321850248817,2.00703777266228,9.25767997586468
multus,ciuitas,10.18,2.18487891178524,1.99463237580479,9.52185182645091
multus,scribo,12.13,2.08388159796344,1.92624851773495,9.68771056137293
multus,bonum,6.68,2.07291048014244,1.91881353924744,9.24125072608361
multus,locus,12.51,1.87803155136785,1.78654557066969,9.77383004499848
