lemma,collocate,LogL,LR,MI,LogDice
non,solum,473.45,5.59716880525332,3.60222782707652,10.888140907896
non,modo,840.73,5.18526925746055,3.45320107287097,11.4912095810197
non,queo,31.25,5.00374021171233,3.38111600264704,8.33085826640881
non,nonnullus,85.04,4.79584736007099,3.29385955764981,9.37184597762153
non,sino,30.94,4.43085054329175,3.12898491445958,8.46241970025787
non,dubito,139.97,4.35272731882411,3.09184536751012,9.97079473994886
non,secus,14.45,4.19638528965472,3.01565622915257,7.77198221466789
non,egeo,27.7,4.05888176590479,2.94666335766562,8.46119044380314
non,fastidio,9.97,3.93335088382093,2.88212483652805,7.48479360385948
non,ample,39.36,3.89382251963429,2.86150554932531,8.8619981099833
non,libet,21.31,3.68181211682496,2.74859344390353,8.3271677713849
non,acerbitas,9.01,3.64384426662594,2.72797415670079,7.48430014221611
non,desisto,11.86,3.61142278893357,2.71027457960139,7.77074962484094
non,aliter,27.45,3.41397672472735,2.60071237708986,8.67869879706159
non,possum,882.2,3.37161432295696,2.57682366663568,11.8149112865044
non,tantum,75.17,3.3598840219376,2.57018578643071,9.68417994356439
non,extimesco,7.84,3.29592096320564,2.53381814225983,7.48356040602161
non,audeo,60.05,3.19638528965472,2.47665972841989,9.53217800516313
non,effugio,12.2,3.13980176128836,2.44386990559689,7.99094114449107
non,ignoro,16.59,3.0777407931561,2.40766685693293,8.32398032232116
non,exprimo,6.91,3.0158130440129,2.37129921276206,7.48282121663228
non,aeque,9.11,2.99475142848507,2.3588766927635,7.76878063577261
non,lenis,9.11,2.99475142848507,2.3588766927635,7.76878063577261
non,ligneolus,18.23,2.99475142848507,2.3588766927635,8.45531095601855
non,recuso,13.53,2.97399286831827,2.34660660017169,8.17080931438219
non,desum,35.37,2.93335088382093,2.32250904859263,9.134390477954
non,mehercule,11.05,2.93335088382093,2.32250904859263,7.98995906731908
non,committo,30.68,2.91627737046199,2.31235667712861,9.00399501842647
non,quia,63.32,2.90868882958666,2.30783885884483,9.70671036828322
non,mediocris,6.37,2.85534837181966,2.27598903295773,7.48232872708773
