lemma,collocate,LogL,LR,MI,LogDice
nullus,pactum,41.39,6.60634730885505,4.75338569957039,10.0519665570488
nullus,egeo,22.49,5.56887260343639,4.16559903466827,9.63849500104692
nullus,mentio,16.46,5.46195739951988,4.1010605135307,9.36042838729458
nullus,discrimen,15.96,5.33071286624162,4.02101780585716,9.3572129504406
nullus,mora,18.63,4.80988070294018,3.69559540542253,9.61019122488406
nullus,modus,111.06,4.64170548344783,3.58823688710203,11.0757637281511
nullus,umquam,46.21,4.45261953494054,3.46640953965236,10.4537844220739
nullus,animal,11.68,4.21041863252391,3.30882243032652,9.31478710633837
nullus,inuenio,15.22,3.53595798096365,2.86268628248743,9.70271459378121
nullus,officium,7.24,3.0213848081339,2.51694040908089,9.22087650688847
nullus,uis,11.97,2.66445026341862,2.27516803793319,9.68808293151314
nullus,certe,5.72,2.58748828160374,2.22286853853034,9.1663671012201
nullus,pax,5.32,2.47057052982459,2.14331590682838,9.1492726678608
nullus,honor,5.21,2.43642230741274,2.12005904466412,9.14407109566472
nullus,habeo,32.83,2.42977699377073,2.11553210166834,10.1968524523371
nullus,lex,8.57,2.41631473396417,2.10636020030595,9.51024066552324
nullus,enim,20.92,2.12363486638185,1.90661757915636,9.97822613061274
nullus,res,25.1,1.78147228775443,1.67239358206557,9.94279498472736
nullus,sui,10.2,1.38178705083589,1.39802285425203,9.62298590714966
nullus,sum,39.29,1.18101224553768,1.25994503719173,9.71686726160983
