lemma,collocate,LogL,LR,MI,LogDice
omnis,boni,77.92,4.69343319815105,3.50813271425037,9.93525590755419
omnis,saeculum,23.96,4.40615124607058,3.35212846577379,8.85931157765555
omnis,uicus,18.78,4.20451738490093,3.23879978046678,8.67796610683465
omnis,tui,11.2,4.18375882473413,3.22696532281978,8.17252605300125
omnis,Belgae,14.13,4.01383382329182,3.12898491445958,8.45628847320293
omnis,circum,14.13,4.01383382329182,3.12898491445958,8.45628847320293
omnis,molestia,13.81,3.94671962743328,3.08976420130629,8.45579959516826
omnis,gens,49.84,3.8373084107127,3.02522568016872,9.74014099930033
omnis,concido,9.37,3.66918565190437,2.92468445094685,8.16958487441043
omnis,comperio,9.12,3.59879632401297,2.88212483652805,8.16909551790446
omnis,ora,11.92,3.54817025094301,2.8513531778613,8.4523841246609
omnis,sueui,8.88,3.53168212815444,2.8413028420078,8.16860640075115
omnis,membrum,8.66,3.46755179073472,2.80208212885451,8.16811752271648
omnis,copia,55.42,3.37052733633986,2.74236289415289,9.99085028384113
omnis,mortalis,13.65,3.33576191817918,2.72085668893193,8.66873153331228
omnis,cerno,7.84,3.23622624462827,2.65898128521384,8.1661643970956
omnis,siculi,7.66,3.18375882473413,2.62619146239085,8.16567671115567
omnis,animal,12.53,3.14311684023678,2.60071237708986,8.66583298055827
omnis,natio,14.79,3.10847069742989,2.5789385775403,8.8423825155551
omnis,aditus,9.75,3.08422315118322,2.56367110540952,8.44704041507838
omnis,iuuentus,9.75,3.08422315118322,2.56367110540952,8.44704041507838
omnis,misceo,9.75,3.08422315118322,2.56367110540952,8.44704041507838
omnis,equitatus,14.29,3.03691743640486,2.53381814225983,8.84094470078547
omnis,fere,13.67,2.94671962743328,2.47665972841989,8.83903082460319
omnis,potentia,9.11,2.94671962743328,2.47665972841989,8.44510430605152
omnis,notus,11.24,2.92072441890034,2.46013042646868,8.66198126660041
omnis,supplicium,10.67,2.82118874534942,2.39661702074635,8.66006095876114
omnis,undique,8.4,2.79144140195537,2.37756882577565,8.44268942924406
omnis,opinio,10.02,2.70571152792949,2.32250904859263,8.65766574803519
omnis,aduersus,5.77,2.63356174217365,2.27598903295773,8.1593583426266
