lemma,collocate,LogL,LR,MI,LogDice
pars,accusatio,18.2,5.88854525328402,4.52171578713284,9.76107420896679
pars,inferus,20.27,5.11093767462047,4.03620797135114,9.98361697924761
pars,uterque,37.84,4.85041012439725,3.86841451512009,10.528421821576
pars,alter,64.77,4.53132840839352,3.66023329175368,10.8850043056192
pars,tres,17.04,4.48644680971267,3.63074286324297,9.92670884697573
pars,dimitto,16.75,4.42911363464672,3.59300253526013,9.9203461531879
pars,flumen,20.67,4.38847165014938,3.5662043421054,10.0960091662691
pars,equitatus,11.9,4.25849486303433,3.48026191230468,9.66053297974491
pars,oppidum,9.27,3.56661715839666,3.01763839035656,9.57715137080586
pars,magnus,97.89,3.54234814363351,3.00127986801468,10.8045207529382
pars,Gallia,12.11,3.51599108532669,2.98350538398711,9.78602226283335
pars,reliquus,14.8,3.46323941855135,2.94790505234189,9.93097324576219
pars,ullus,9.36,2.95443318894048,2.60295662714348,9.66598258451248
pars,corpus,8.75,2.82553545575822,2.51518101626109,9.63372172229426
pars,duo,5.98,2.6588108566064,2.40145225093275,9.40825283434405
pars,aetas,5.9,2.63700648628806,2.386563638439,9.40319806368242
pars,ex,39.17,2.62981098488385,2.38164962363657,10.2203661826176
pars,quisque,5.73,2.58737571856346,2.35266208676332,9.39150202391923
pars,bonus,12.09,2.4264395003484,2.24261867544601,9.794241850407
pars,aliquis,8.73,2.17757486765076,2.07214850379015,9.63055214753298
pars,omnis,15.91,1.72723338214642,1.7628932606572,9.67752434495265
pars,is,30.96,1.69907364732097,1.74352753717632,9.74460894595128
pars,suus,6.71,1.5614738551207,1.64885761172938,9.44349498599319
pars,in,16.03,1.20271186832813,1.40173991091952,9.42408699507903
