lemma,collocate,LogL,LR,MI,LogDice
periculum,subeo,25.33,6.06803673450134,4.75660696267395,10.3789979682891
periculum,libero,42.02,5.8131073783046,4.59710008364617,10.8130572222348
periculum,seruitus,15.68,5.21690012041583,4.21469075183793,10.0551871717489
periculum,magnitudo,12.84,4.49253456302925,3.73706319748153,9.96281385161785
periculum,labor,19.46,4.1920254517768,3.53593230873008,10.257579778958
periculum,eripio,11.31,4.09660588669811,3.47178206171892,9.89460560159131
periculum,metus,14.46,3.97559048573675,3.39024681645487,10.0632843819815
periculum,caput,13.92,3.87009735688943,3.31901930716651,10.0368087079975
periculum,patria,9.65,3.66364647942201,3.17925736479135,9.80279805233819
periculum,paruus,8.25,3.28925096464051,2.92472749965647,9.70726005615288
periculum,tantus,20.5,3.1359088473938,2.82013975441892,10.1030906323819
periculum,meus,29.48,3.04871855730156,2.76059470460124,10.1749883715615
periculum,sine,12.17,3.03034444442939,2.74803976058077,9.88096282518753
periculum,ullus,7.17,2.99226922688338,2.72201598715946,9.62005887181714
periculum,mors,9.48,2.97559048573675,2.71061335506165,9.7604734279334
periculum,amicus,9.1,2.89811173305903,2.65762082492114,9.73205233202383
periculum,ciuis,8.78,2.82907008862938,2.6103679400706,9.70612175210282
periculum,iudicium,6,2.66364647942201,2.49703925476359,9.51136363026786
periculum,uel,5.93,2.64242999351231,2.48249354376121,9.50390090906627
periculum,superus,7.54,2.5630425384836,2.42804638327664,9.60093189947127
periculum,uita,7.09,2.46550160433224,2.36110690060153,9.56029425373944
periculum,magnus,19.13,2.43502210437404,2.3401806704811,9.82421510583772
periculum,publicus,8.25,2.10202616248237,2.11130351656174,9.51511597988641
