lemma,collocate,LogL,LR,MI,LogDice
populus,romanus,2972.07,8.75661089728561,5.69931214557865,13.4588462749043
populus,suffragium,27.66,6.64698640611111,4.87054079172105,9.67421308364899
populus,uniuersus,60.62,5.9364930233061,4.48754853946495,10.5264819567582
populus,existimatio,23.5,5.78448992986105,4.40053716247532,9.65944661353269
populus,iussus,17.62,5.78448992986105,4.40053716247532,9.38158458726189
populus,Fortuna,15.07,5.10641802474841,3.99507205436715,9.36689044532267
populus,pernicies,13.85,4.78448992986105,3.794401358905,9.3572129504406
populus,senator,17.76,4.64698640611111,3.70738998191537,9.62110325833505
populus,beneficium,29.67,4.48750819210391,3.60560728760543,10.1125624700445
populus,libertas,45.91,4.43656662644074,3.57291206768682,10.4830418280622
populus,imperium,42.38,3.92982929302509,3.24348127793713,10.4699697464949
populus,carus,9.22,3.5620975085246,3.00044947922309,9.29498447904219
populus,socius,14.53,3.42834611963577,2.91138541591572,9.71917587083528
populus,liber,8.71,3.42459398477466,2.9088822856976,9.28448175684304
populus,senatus,32.45,2.94222939285524,2.58524719583707,10.3236993280929
populus,praetor,6.66,2.85849051130482,2.52873498557373,9.23072880333148
populus,uoluntas,5.92,2.64698640611111,2.38563414193305,9.20558781437338
populus,imperator,5.59,2.55182917307077,2.32109562079548,9.19325044061354
populus,uersus,5.04,2.38759977729246,2.20950455538702,9.17035381746392
populus,nomen,8.05,2.32505831122375,2.16694494096822,9.53409188134542
populus,salus,6.44,2.32505831122375,2.16694494096822,9.3774811756773
populus,pro,9.08,2.236053305165,2.10632031915179,9.63160755660192
populus,bellum,8.18,1.90534432473543,1.88053919287605,9.62514185480473
populus,que,54.8,1.90320020422882,1.87907291695352,10.2245525295776
populus,per,6.86,1.71410060196965,1.74964537521305,9.56155927604603
