lemma,collocate,LogL,LR,MI,LogDice
possum,pactum,28.38,5.0021360934874,3.66374711105347,8.98936470590374
possum,transigo,13.93,4.92813551204362,3.62452639790019,8.3029065134946
possum,sano,23.05,4.89956635984685,3.60925892576941,8.80871120621049
possum,quoad,25.18,4.54962388878989,3.41688703312195,8.98548335919577
possum,quantum,58.62,4.54171869070454,3.41243268277257,9.80926359210283
possum,efficio,69.68,4.46716172859792,3.3701999191493,9.99266681476753
possum,perspicio,46.4,4.27278368343107,3.25828200294531,9.65511291227557
possum,irascor,11.52,4.25006360693098,3.24503677619529,8.29955642660931
possum,prouideo,28.8,4.05039126209462,3.12725374053891,9.25942517700571
possum,aspicio,21.25,4.0021360934874,3.09843330200341,8.97886447126988
possum,consequor,33.44,3.83728208159251,2.99899940501523,9.46955336020785
possum,noceo,19.97,3.82379885222888,2.99080263781105,8.97611947915372
possum,commode,9.86,3.79063198829368,2.97059993049353,8.2962175253438
possum,assequor,9.63,3.72650165087397,2.93137921734025,8.2956621240521
possum,proficio,12.55,3.66510110620983,2.8936388893574,8.57780708379642
possum,honeste,9,3.54962388878989,2.82217992537526,8.29399776860549
possum,sustineo,23.86,3.53581808926486,2.81359618168386,9.24802749595442
possum,fio,103.86,3.52292109525042,2.80556987080964,10.5897956837811
possum,confido,14.67,3.49517610476751,2.78827837369957,8.79324982697746
possum,effugio,8.62,3.44270868487338,2.75548855087658,8.29288973525113
possum,contingo,13.94,3.37231935698198,2.71131733256345,8.79106044460318
possum,conspicio,8.26,3.34317301132246,2.69296819389525,8.29178292827593
possum,impello,10.68,3.27278368343107,2.64851643132442,8.57230046195223
possum,non,860.5,3.19315823265661,2.59800448871513,11.8360921085839
possum,multum,27.45,3.12453272484712,2.5542848063613,9.53409188134542
possum,perficio,9.78,3.08013860548867,2.52591410923208,8.56901098530183
possum,aliter,9.64,3.05039126209462,2.50686591426139,8.56846378966574
possum,nemo,49.15,2.99132933853081,2.46895921630461,10.1052684916819
possum,reperio,13.6,2.92813551204362,2.42827563966817,8.95603739314575
possum,uere,6.8,2.92813551204362,2.42827563966817,8.28626719449063
