lemma,collocate,LogL,LR,MI,LogDice
publicus,res,4003.91,6.3241088680677,4.62923323309695,13.1244641688154
publicus,detrimentum,17.41,5.77574352101012,4.34361941370923,9.08612037436805
publicus,meritum,27.03,5.44857877775661,4.16129785691527,9.5799552981386
publicus,recipero,20.36,5.19078102028896,4.01226227775478,9.35922138654454
publicus,pestis,23.28,4.84285771686865,3.80462291297654,9.56561813499219
publicus,mereor,13.72,4.77574352101012,3.76380091845628,9.0727463148428
publicus,priuatus,25.94,4.08252812963694,3.33016493338142,9.84447074873876
publicus,libero,22.1,4.0652501382051,3.31911509719484,9.70384902385182
publicus,consulo,14.3,3.97778729695476,3.26302563054379,9.32483744219187
publicus,sapiens,17.03,3.84285771686865,3.17601425355416,9.52493849935893
publicus,firmus,9.97,3.77574352101012,3.13252914161443,9.04652311974369
publicus,saluus,9.62,3.68058628796978,3.07065373789634,9.04299992173638
publicus,conseruo,15.62,3.61458872919554,3.02759424843589,9.51136363026786
publicus,opprimo,11.84,3.48028763748394,2.93962547548993,9.30065664399466
publicus,praesidium,19.33,3.31801620858507,2.83276232994757,9.78154326706987
publicus,salus,26.55,3.23067374741247,2.77500349579538,10.0613350636254
publicus,paene,7.59,3.12665068286924,2.70601062430843,9.01753558287044
publicus,uersor,7.59,3.12665068286924,2.70601062430843,9.01753558287044
publicus,pecunia,11.47,2.92774661445517,2.57352144126235,9.45670521773
publicus,defendo,11.93,2.66531953131647,2.39770926465391,9.57815187113945
publicus,dignitas,9.91,2.65925777852926,2.39363593926628,9.42838659754075
publicus,fides,9.65,2.61458872919554,2.3636036521674,9.42322928853361
publicus,postulo,5.47,2.52092962198129,2.30054551620027,8.9772165719681
publicus,cogito,6.06,2.24082170278856,2.11130351656174,9.19495488963705
publicus,periculum,9.09,2.24082170278855,2.11130351656174,9.51511597988641
publicus,consilium,13.36,2.21280732661896,2.09232761510273,9.79862964280101
publicus,iudico,7.07,2.1455922465227,2.04676499542417,9.36042838729458
publicus,sentio,5.32,2.0652501382051,1.99224415654575,9.17268676303128
publicus,tempus,5.88,1.56578385776555,1.65203048966109,9.48054333228594
