lemma,collocate,LogL,LR,MI,LogDice
qua,potius,161.39,5.09807030840996,3.83828830926088,10.8864846907896
qua,aliter,39.54,4.68303280913111,3.60566601399212,9.65763862171855
qua,malo,63.7,4.34318280624649,3.40638994408456,10.189179500081
qua,uere,18.1,4.04654000776988,3.22697114694856,9.07710362021175
qua,excedo,10.37,3.91364573727253,3.14514112870093,8.57725505507691
qua,late,10.37,3.91364573727253,3.14514112870093,8.57725505507691
qua,dulcis,17.22,3.9021500984347,3.13802366093207,9.07419664142044
qua,appeto,9.78,3.75014700498965,3.04335843439099,8.5750499825186
qua,magis,136.14,3.73550022902525,3.03418405811495,10.9526471046835
qua,olim,8.61,3.42821891010229,2.83975947914975,8.56992364393961
qua,stultus,11,3.32868323655137,2.77604366476364,8.8459861230584
qua,cito,7.92,3.23557383215989,2.71614552318257,8.56627799644576
qua,popularis,7.67,3.16518450426849,2.67068314910581,8.56482345073477
qua,diligenter,9.87,3.08989637696426,2.62189298493638,8.83950895035937
qua,amplus,14.41,3.03393997099024,2.58552534076551,9.22017647185813
qua,turpis,13.77,2.94279208293205,2.52610192029471,9.21598652159428
qua,fruor,6.78,2.91364573727253,2.50705372532401,8.55902633305044
qua,multus,115.33,2.87693953563742,2.48303392920407,10.9159751193003
qua,prosum,8.72,2.84325640938113,2.46096261812375,8.83164895991199
qua,parum,29.94,2.80835079443293,2.43806085383706,9.95694873216545
qua,acer,6.4,2.80261442488379,2.43429437104158,8.55614032816131
qua,longe,12.34,2.73732296463207,2.39136932632455,9.20558781437338
qua,paruus,14.88,2.5631484901884,2.27639134159578,9.45338626347193
qua,difficilis,5.41,2.5131078076888,2.24323913427888,8.54753195362471
qua,miror,5.2,2.44897747026908,2.20067951986008,8.54539138912559
qua,dignus,6.16,2.27209970818501,2.0828964842037,8.80773783479247
qua,nascor,7.19,2.17552644848995,2.01835796306612,9.00617182422013
qua,intellego,11.46,2.17163952640579,2.01575718136607,9.41886639184015
qua,morior,5.44,2.10217470674269,1.96923716573117,8.7987443462951
qua,uerus,5.19,2.04180208876321,1.92874580437644,8.79530673548463
