lemma,collocate,LogL,LR,MI,LogDice
que,obtestor,25.47,5.54207236859771,3.62059049177896,8.13608477383899
que,suum,36.18,4.51560015723652,3.1722852249943,8.71820730578426
que,commeatus,19.61,4.42659515117777,3.12811400668116,8.13409867586736
que,dirimo,11.64,4.39006927515266,3.10976486801296,7.625259150073
que,defensor,22.14,4.22014427371035,3.02275349102333,8.31472099690836
que,turris,10.56,4.0681411802653,2.9427107833498,7.62469129088682
que,fidus,17.44,4.03957202806853,2.92744331121901,8.1329655312702
que,centurio,20.64,3.9977518523739,2.90497045536695,8.31387246058252
que,cruciatus,13.76,3.9977518523739,2.90497045536695,7.91095512455315
que,equitatus,51.36,3.98407691547682,2.89759034806933,9.21863811759349
que,fatalis,10.09,3.93063765651536,2.86860281119608,7.62440748217199
que,geminus,10.09,3.93063765651536,2.86860281119608,7.62440748217199
que,mensa,13.31,3.89821617882298,2.85090323409668,7.91067171800457
que,infestus,16.1,3.8051067744315,2.79960993970912,8.13211651466337
que,militia,16.1,3.8051067744315,2.79960993970912,8.13211651466337
que,conatus,12.48,3.71764393318116,2.75081977553969,7.91010514575145
que,testor,9.27,3.68962955701157,2.73507141857155,7.62384010627024
que,item,52.39,3.68311625005289,2.73140168968259,9.33739366096729
que,ratis,18.16,3.63518177298919,2.7042997599048,8.31217754492253
que,penitus,11.75,3.55717926098792,2.65984799733397,7.90953889432069
que,periculosus,11.75,3.55717926098792,2.65984799733397,7.90953889432069
que,nex,11.41,3.48317867954414,2.61728838291517,7.90925588880019
que,rumpo,11.09,3.41278935165274,2.57646638839492,7.90897296334916
que,altitudo,8.24,3.39006927515266,2.56322116164489,7.62298964555279
que,comitatus,8.24,3.39006927515266,2.56322116164489,7.62298964555279
que,praemitto,8.24,3.39006927515266,2.56322116164489,7.62298964555279
que,armo,7.94,3.30260643390232,2.51192786725734,7.62270631930071
que,munitio,7.94,3.30260643390232,2.51192786725734,7.62270631930071
que,coma,7.66,3.22014427371035,2.46313770308791,7.62242307329967
que,cultus,10.22,3.22014427371035,2.46313770308791,7.90812466696011
