lemma,collocate,LogL,LR,MI,LogDice
qui,supra,36.59,4.4152295591519,2.77686209792747,8.03014220664608
qui,supersum,26.63,3.71573867040435,2.47479128802359,7.92414324367039
qui,manduco,17.52,3.67826396498569,2.45709171092419,7.51982763437965
qui,Antiochus,7.29,3.20877868168447,2.22347685974269,6.82757542287516
qui,mereo,10.77,2.94574427585067,2.08371491736753,7.33699502608613
qui,materia,7.98,2.79374118240563,2.00033330842848,7.11423473890948
qui,natu,5.99,2.79374118240563,2.00033330842848,6.82719176662644
qui,secundum,13.6,2.74311510933566,1.97216243146178,7.67180814676298
qui,recito,11.61,2.73484749335206,1.96754348560548,7.51829526273514
qui,deposco,5.63,2.67826396498569,1.9357947872909,6.8270639139126
qui,Syria,5.63,2.67826396498569,1.9357947872909,6.8270639139126
qui,tarquinius,5.63,2.67826396498569,1.9357947872909,6.8270639139126
qui,trans,9.27,2.65623765865569,1.92337226729235,7.33648423562681
qui,concupisco,6.66,2.47181308751826,1.81801175163452,7.11372375269499
qui,quondam,8.32,2.47181308751826,1.81801175163452,7.33610131392961
qui,summa,8.03,2.4152295591519,1.78522192881153,7.33597370594118
qui,plerumque,5.84,2.27017922634861,1.70022871597814,7.1133406843126
qui,meritum,5.6,2.20877868168447,1.66386107180726,7.11321302745406
qui,ueteranus,5.6,2.20877868168447,1.66386107180726,7.11321302745406
qui,liber2,12.13,2.15631126179033,1.63260852830316,7.91943135975371
qui,iuuentus,7.94,2.1307761696832,1.61734105617237,7.51663783901155
qui,profecto,15.44,2.09330146426453,1.59486820032031,8.20394224923463
qui,uetustas,5.15,2.09330146426453,1.59486820032031,7.1129577626154
qui,quidem,110.23,2.08814897649893,1.59177222261518,10.1052177898845
qui,incido,8.9,2.07753414840622,1.58538945636577,7.66964267874908
qui,olim,6.33,2.07127515793453,1.58162297357029,7.33508090567781
qui,nimie,6.12,2.02820643604265,1.55564748716703,7.33495342782691
qui,super,5.92,1.98638626034802,1.53032967918274,7.33482596622455
qui,antea,9.72,1.8762033425976,1.46319037634511,7.91790793683626
qui,reperio,10.72,1.8677417638494,1.45800901760311,8.02212740641149
