lemma,collocate,LogL,LR,MI,LogDice
quis,pactum,48.33,5.61657076266295,3.7307299316124,9.06034367536233
quis,tandem,138.1,5.56212297864057,3.7064126239617,10.1019199005409
quis,porro,47.48,5.52910792141261,3.69150921845912,9.05994614007583
quis,nescio,181.4,5.31279001448585,3.59096798923724,10.4114781648286
quis,ergo,190.26,4.95870771489434,3.41609723859915,10.5259149025894
quis,refert,16.19,4.44664576122064,3.14294326671028,8.25140350955401
quis,for,11,4.12471766633327,2.96062170991633,7.96451856747524
quis,mirus,21.02,3.98721414258334,2.88057900224279,8.64932740311804
quis,num,49.76,3.82997440077214,2.78760254578469,9.53908516999941
quis,quaero,148.81,3.7607543516487,2.74621183857087,10.5730501222354
quis,si,795.13,3.64169867567337,2.67439984702067,11.8208803996958
quis,memoro,9.27,3.63929083916303,2.67293963746455,7.96212908007786
quis,intersum,29.73,3.53975516561212,2.61231501564811,9.14212746045616
quis,quamquam2,20.7,3.52608022871504,2.6039467659776,8.79520869146279
quis,opusculum,20.48,3.49911318111477,2.58741746402639,8.79481661147345
quis,considero,8.18,3.3311685438007,2.48369763782602,7.96014219287545
quis,tametsi,7.81,3.22425333988419,2.41700626332735,7.95934854204014
quis,enim,248.12,3.14231172634801,2.36556635212258,11.1087868453356
quis,ago,116.83,3.12471766633327,2.35448590634601,10.5345965992815
quis,ignoro,9.78,3.08909375660255,2.33201305049395,8.24149262565455
quis,proficio,6.98,2.98721414258334,2.26747452935638,7.95736716631762
quis,iuuo,9.16,2.95479266489096,2.24685524215365,8.23991595997516
quis,celeritas,6.83,2.94414542069145,2.24007555516827,7.95697136183986
quis,quaeso,6.69,2.90232524499683,2.21340730808611,7.95657571396131
quis,dubito,19.24,2.82215489631284,2.16211401369856,9.02326625757943
quis,igitur,37.95,2.79639180024776,2.14558471174735,9.66999792117221
quis,etenim,12.31,2.74620604307954,2.11332384952912,8.63169026163193
quis,requiro,6.15,2.74620604307954,2.11332384952912,7.95499468596399
quis,ne,175.16,2.73335916352394,2.10505250377845,10.9303258810474
quis,umquam,17.58,2.48317163724575,1.94297848378189,9.11115576295767
