lemma,collocate,LogL,LR,MI,LogDice
ratio,utilitas,17.77,5.74175582209296,4.5458133387119,10.2120296432418
ratio,certus,14.07,3.8969261946167,3.32132080415479,10.0632843819815
ratio,aliquis,26.9,3.47924881346515,3.03722939983373,10.2310778382125
ratio,ullus,8.08,3.24149048594709,2.87489034262712,9.70044958715036
ratio,habeo,35.6,3.11799807120109,2.79042151365472,10.1385186917801
ratio,accipio,7.1,2.97287504784999,2.69104090165511,9.60555084532756
ratio,totus,6.05,2.67680038025219,2.48794428228619,9.49097367456481
ratio,magis,7.91,2.64316960237091,2.46484856749154,9.58417598574283
ratio,sine,5.56,2.53435611523199,2.39008849228243,9.43218560055568
ratio,alius,7.77,2.26721731106546,2.20635550265007,9.4641798921467
ratio,iste,7.49,2.21489627593537,2.17034052996936,9.43669401811061
ratio,idem,5.6,2.12395006468479,2.10771710676789,9.33420519219547
ratio,nec,5.35,2.06487083193077,2.06702291594133,9.30407545074344
ratio,et,5.31,0.861903909181968,1.23666587463355,8.73630283409857
