lemma,collocate,LogL,LR,MI,LogDice
res,publicus,3985.8,7.53218923868587,4.54353851199207,13.0387694477105
res,frumentarius,97.23,7.4639496956245,4.5295819211715,9.63690137521164
res,ob,374.83,6.36286357051018,4.23426775704379,11.0809223629159
res,capitalis,18.9,5.07163227284574,3.70760186876858,8.38732820208437
res,militaris,77.79,4.93670269275963,3.64193276526073,9.81346956312603
res,prosper,12.78,4.65659477356689,3.49996250399034,8.10010264641751
res,coniectura,12.25,4.50459168012184,3.4199197963168,8.09964612963259
res,cupidus,14.71,4.15409443303771,3.2280287885067,8.38368355112507
res,fictus,10.56,4.0191648529516,3.15165580972212,8.09782214371878
res,maritimus,10.56,4.0191648529516,3.15165580972212,8.09782214371878
res,rusticus,10.56,4.0191648529516,3.15165580972212,8.09782214371878
res,amans2,10.21,3.91962917940069,3.09449739588218,8.09736666659864
res,pernicies,16.06,3.75613044711781,2.99918721607785,8.6013849121366
res,difficultas,9.57,3.73905693375886,2.98913688022435,8.09645633426449
res,scientia,12.67,3.71799531823103,2.97671436022579,8.38095875379889
res,ignarus,9.28,3.65659477356689,2.94034671605492,8.09600147867329
res,gero,108.12,3.57859226156562,2.89382670042002,10.4760934643454
res,caritas,8.75,3.50459168012184,2.84937493784919,8.0950923877016
res,familiaris,27.87,3.3935603677331,2.78212271084002,9.27261218128766
res,humanus,24.35,3.32401943448002,2.73967602059277,9.16946650595939
res,diuinus,18.7,3.29402469418218,2.72129314999223,8.9252727130165
res,secundus,12.84,3.20593336455733,2.66705338105524,8.59552243762357
res,studeo,7.24,3.07163227284573,2.58367177211618,8.09191706183107
res,inopia,11.89,3.0399234131184,2.56386914482001,8.59327675960818
res,contra,42.72,3.03644284438344,2.56169286539741,9.8162549416988
res,ornatus,7.06,3.0191648529516,2.55088194929319,8.09146426580794
res,summa,7.06,3.0191648529516,2.55088194929319,8.09146426580794
res,status,9.12,2.9561550554258,2.51135111053656,8.37372871778541
res,conficio,24.31,2.89363397086774,2.47196778253618,9.34994336332295
res,nouus,42.12,2.80193413673093,2.41392899752909,9.89942488802726
